| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |             ttfr (ms) |          est_ppt (ms) |         e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    810.68 ± 3.83 |   502.71 ± 97.13 |                |                  |      4233.93 ± 817.68 |      4231.90 ± 817.68 |      4235.49 ± 817.28 |          0.383 |        0.329 |
| qwen3.8-flash-next |   tg128 @ d16384 (c2) |     55.78 ± 1.31 |     37.97 ± 8.74 |  107.33 ± 3.30 |     55.67 ± 5.53 |                       |                       |                       |          0.383 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3082.49 ± 1.67 |  952.24 ± 152.03 |                |                  |    17654.85 ± 2799.17 |    17652.82 ± 2799.17 |    17656.92 ± 2799.14 |          0.381 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     45.47 ± 0.78 |     19.78 ± 7.61 |  149.00 ± 7.87 |     41.92 ± 6.59 |                       |                       |                       |          0.381 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    845.17 ± 0.39 |  297.83 ± 110.80 |                |                  |     7656.61 ± 2121.79 |     7654.58 ± 2121.79 |     7657.68 ± 2121.40 |          0.381 |        0.329 |
| qwen3.8-flash-next |   tg128 @ d16384 (c4) |     54.93 ± 0.61 |     25.72 ± 7.83 |  158.33 ± 3.68 |     45.83 ± 5.64 |                       |                       |                       |          0.381 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3080.83 ± 3.02 |  804.25 ± 192.60 |                |                  |    21508.45 ± 4735.66 |    21506.42 ± 4735.66 |    21510.84 ± 4735.81 |          0.368 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     41.36 ± 0.88 |     17.56 ± 7.89 |  160.00 ± 8.29 |     37.60 ± 3.07 |                       |                       |                       |          0.368 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    852.84 ± 0.80 |  255.22 ± 117.90 |                |                  |     9296.21 ± 2846.91 |     9294.18 ± 2846.91 |     9298.46 ± 2846.90 |          0.368 |        0.329 |
| qwen3.8-flash-next |   tg128 @ d16384 (c5) |     52.46 ± 0.36 |     21.90 ± 7.66 |  176.00 ± 2.83 |     38.27 ± 2.77 |                       |                       |                       |          0.368 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3068.72 ± 0.99 |  633.49 ± 278.86 |                |                  |   30210.66 ± 10219.38 |   30208.63 ± 10219.38 |   30211.77 ± 10219.81 |          0.381 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     29.86 ± 0.42 |     11.03 ± 7.20 |  202.67 ± 7.76 |     31.75 ± 3.39 |                       |                       |                       |          0.381 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    854.11 ± 0.47 |  198.74 ± 117.65 |                |                  |    12985.48 ± 5050.50 |    12983.45 ± 5050.50 |    12987.09 ± 5050.23 |          0.381 |        0.329 |
| qwen3.8-flash-next |   tg128 @ d16384 (c8) |     50.84 ± 0.33 |     14.91 ± 6.86 |  226.33 ± 6.18 |     36.08 ± 4.11 |                       |                       |                       |          0.381 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |   3056.51 ± 1.70 |  585.99 ± 281.91 |                |                  |   34025.57 ± 13571.86 |   34023.54 ± 13571.86 |   34026.40 ± 13572.55 |          0.373 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     26.58 ± 0.25 |      8.45 ± 7.47 |  216.67 ± 5.31 |     29.13 ± 6.48 |                       |                       |                       |          0.373 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    853.12 ± 0.53 |  177.51 ± 115.07 |                |                  |    15198.90 ± 6574.14 |    15196.87 ± 6574.14 |    15200.71 ± 6574.04 |          0.373 |        0.329 |
| qwen3.8-flash-next |  tg128 @ d16384 (c10) |     49.79 ± 0.40 |     11.94 ± 6.30 | 245.33 ± 11.90 |     30.37 ± 2.73 |                       |                       |                       |          0.373 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |   3038.11 ± 0.76 |  449.53 ± 284.79 |                |                  |   49568.14 ± 23580.02 |   49566.11 ± 23580.02 |   49569.30 ± 23579.95 |           0.38 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     25.12 ± 0.65 |      5.54 ± 6.07 |  277.67 ± 4.11 |     26.23 ± 6.95 |                       |                       |                       |           0.38 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |    846.62 ± 0.21 |  134.52 ± 106.85 |                |                  |   22213.99 ± 10978.01 |   22211.96 ± 10978.01 |   22215.50 ± 10978.68 |           0.38 |        0.329 |
| qwen3.8-flash-next |  tg128 @ d16384 (c16) |     49.85 ± 0.07 |      8.28 ± 5.65 |  328.33 ± 5.91 |     26.81 ± 2.83 |                       |                       |                       |           0.38 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c1) |   2775.80 ± 0.89 |   2775.80 ± 0.89 |                |                  |       23612.39 ± 7.42 |       23610.36 ± 7.42 |       23613.97 ± 9.65 |          0.358 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c1) |     47.00 ± 1.88 |     47.00 ± 1.88 |   59.33 ± 2.62 |     59.33 ± 2.62 |                       |                       |                       |          0.358 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c1) |    599.95 ± 1.20 |    599.95 ± 1.20 |                |                  |        3415.66 ± 6.82 |        3413.63 ± 6.82 |        3419.14 ± 7.61 |          0.358 |        0.452 |
| qwen3.8-flash-next |   tg128 @ d65536 (c1) |     53.56 ± 2.52 |     53.56 ± 2.52 |   66.00 ± 4.55 |     66.00 ± 4.55 |                       |                       |                       |          0.358 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c2) |   2769.85 ± 2.59 |  1464.20 ± 79.11 |                |                  |    44893.34 ± 2425.57 |    44891.30 ± 2425.57 |    44897.54 ± 2424.48 |          0.377 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c2) |     30.91 ± 0.34 |    27.52 ± 11.64 |   87.33 ± 2.87 |     47.17 ± 4.10 |                       |                       |                       |          0.377 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c2) |    616.77 ± 2.41 |   383.63 ± 75.03 |                |                  |     5552.82 ± 1085.58 |     5550.79 ± 1085.58 |     5554.97 ± 1085.31 |          0.377 |        0.452 |
| qwen3.8-flash-next |   tg128 @ d65536 (c2) |     49.60 ± 1.39 |    35.59 ± 10.00 | 103.33 ± 12.50 |     54.50 ± 5.44 |                       |                       |                       |          0.377 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c4) |   2706.55 ± 0.80 |  984.66 ± 299.61 |                |                  |   73338.79 ± 22287.92 |   73336.76 ± 22287.92 |   73343.89 ± 22288.14 |          0.377 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c4) |      9.72 ± 0.39 |    14.02 ± 12.02 |  130.00 ± 4.08 |     40.17 ± 4.18 |                       |                       |                       |          0.377 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c4) |    638.91 ± 0.57 |   227.23 ± 84.88 |                |                  |    10049.32 ± 2812.97 |    10047.29 ± 2812.97 |    10051.17 ± 2812.93 |          0.377 |        0.452 |
| qwen3.8-flash-next |   tg128 @ d65536 (c4) |     45.90 ± 0.36 |     23.71 ± 8.53 | 166.00 ± 11.05 |     44.25 ± 3.49 |                       |                       |                       |          0.377 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c5) |   2678.29 ± 9.42 |  871.41 ± 320.21 |                |                  |   85575.94 ± 28520.65 |   85573.90 ± 28520.65 |   85578.51 ± 28521.28 |          0.393 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c5) |      8.07 ± 0.39 |     9.34 ± 12.34 | 140.33 ± 10.21 |     36.80 ± 8.67 |                       |                       |                       |          0.393 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c5) |    647.58 ± 0.23 |   195.27 ± 91.09 |                |                  |    12187.62 ± 3775.56 |    12185.59 ± 3775.56 |    12189.82 ± 3775.52 |          0.393 |        0.452 |
| qwen3.8-flash-next |   tg128 @ d65536 (c5) |     43.51 ± 0.56 |     21.03 ± 9.41 |  173.00 ± 2.94 |     39.47 ± 3.28 |                       |                       |                       |          0.393 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c8) |   2667.36 ± 1.97 |  558.02 ± 239.12 |                |                  |  136458.74 ± 45873.68 |  136456.70 ± 45873.68 |  136461.17 ± 45874.31 |          0.371 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c8) |      7.22 ± 0.34 |      5.89 ± 9.11 |  143.33 ± 7.93 |    25.58 ± 14.63 |                       |                       |                       |          0.371 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c8) |    647.28 ± 0.33 |   151.73 ± 90.63 |                |                  |    17059.25 ± 6659.71 |    17057.21 ± 6659.71 |    17062.08 ± 6660.58 |          0.371 |        0.452 |
| qwen3.8-flash-next |   tg128 @ d65536 (c8) |     40.67 ± 0.22 |     13.27 ± 7.48 |  216.33 ± 4.50 |     32.62 ± 3.53 |                       |                       |                       |          0.371 |        0.452 |
| qwen3.8-flash-next | ctx_pp @ d65536 (c10) |   2644.42 ± 0.63 |  515.15 ± 241.92 |                |                  |  153901.54 ± 60970.11 |  153899.51 ± 60970.11 |  153903.66 ± 60970.83 |          0.374 |        0.452 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c10) |      6.52 ± 0.26 |      4.87 ± 8.81 |  125.67 ± 5.73 |    19.77 ± 17.94 |                       |                       |                       |          0.374 |        0.452 |
| qwen3.8-flash-next | pp2048 @ d65536 (c10) |    645.73 ± 0.45 |   134.69 ± 87.62 |                |                  |    20039.90 ± 8652.91 |    20037.87 ± 8652.91 |    20041.62 ± 8652.50 |          0.374 |        0.452 |
| qwen3.8-flash-next |  tg128 @ d65536 (c10) |     39.80 ± 0.03 |     10.51 ± 6.22 | 255.00 ± 13.37 |     31.10 ± 4.27 |                       |                       |                       |          0.374 |        0.452 |
| qwen3.8-flash-next | ctx_pp @ d65536 (c16) |   2617.60 ± 2.58 |  387.48 ± 247.12 |                |                  | 231082.65 ± 110169.12 | 231080.62 ± 110169.12 | 231084.77 ± 110170.15 |          0.386 |        0.452 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c16) |      5.54 ± 0.24 |      3.87 ± 7.93 |  149.00 ± 1.63 |    14.44 ± 16.69 |                       |                       |                       |          0.386 |        0.452 |
| qwen3.8-flash-next | pp2048 @ d65536 (c16) |    642.62 ± 0.38 |   102.27 ± 81.59 |                |                  |   29242.99 ± 14423.37 |   29240.95 ± 14423.37 |   29245.10 ± 14423.89 |          0.386 |        0.452 |
| qwen3.8-flash-next |  tg128 @ d65536 (c16) |     39.04 ± 0.11 |      7.06 ± 5.34 | 307.67 ± 10.87 |     25.81 ± 4.35 |                       |                       |                       |          0.386 |        0.452 |
