| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |             ttfr (ms) |          est_ppt (ms) |         e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    849.48 ± 0.41 |  198.17 ± 117.68 |                |                  |    13039.32 ± 5082.32 |    13036.87 ± 5082.32 |    13041.33 ± 5081.95 |          0.395 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    115.11 ± 2.34 |     20.67 ± 3.95 | 246.33 ± 11.81 |     39.38 ± 3.07 |                       |                       |                       |          0.395 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |  3045.72 ± 18.00 |  585.75 ± 282.31 |                |                  |   34103.30 ± 13654.13 |   34100.85 ± 13654.13 |   34105.09 ± 13654.77 |          0.406 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     67.11 ± 6.78 |     12.84 ± 6.58 |  245.67 ± 6.34 |     37.43 ± 9.70 |                       |                       |                       |          0.406 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    844.93 ± 2.62 |  175.52 ± 113.48 |                |                  |    15350.10 ± 6623.44 |    15347.65 ± 6623.44 |    15351.31 ± 6622.85 |          0.406 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    120.21 ± 1.57 |     17.91 ± 3.84 | 281.00 ± 13.06 |     36.90 ± 3.97 |                       |                       |                       |          0.406 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |   3038.25 ± 0.70 |  449.70 ± 284.96 |                |                  |   49594.96 ± 23599.10 |   49592.50 ± 23599.10 |   49596.43 ± 23599.55 |          0.404 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     74.62 ± 1.90 |      9.32 ± 4.60 |  331.00 ± 6.98 |     31.17 ± 6.52 |                       |                       |                       |          0.404 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |    842.51 ± 0.42 |  133.91 ± 106.41 |                |                  |   22321.42 ± 11029.06 |   22318.97 ± 11029.06 |   22324.28 ± 11029.38 |          0.404 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    132.78 ± 0.69 |     13.14 ± 3.50 | 370.67 ± 10.21 |     31.65 ± 3.71 |                       |                       |                       |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c1) |   2778.46 ± 3.30 |   2778.46 ± 3.30 |                |                  |      23594.66 ± 28.02 |      23592.20 ± 28.02 |      23597.34 ± 28.14 |          0.409 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c1) |     53.60 ± 3.26 |     53.60 ± 3.26 |   75.33 ± 6.18 |     75.33 ± 6.18 |                       |                       |                       |          0.409 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c1) |    593.51 ± 1.89 |    593.51 ± 1.89 |                |                  |       3453.14 ± 10.99 |       3450.69 ± 10.99 |       3456.82 ± 13.58 |          0.409 |        0.452 |
| qwen3.8-flash-next |   tg512 @ d65536 (c1) |     56.80 ± 3.71 |     56.80 ± 3.71 |   73.33 ± 7.04 |     73.33 ± 7.04 |                       |                       |                       |          0.409 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c2) |   2777.60 ± 3.68 |  1468.39 ± 79.39 |                |                  |    44774.06 ± 2420.48 |    44771.61 ± 2420.48 |    44779.40 ± 2419.47 |          0.396 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c2) |     38.15 ± 1.51 |    31.39 ± 13.42 |   96.67 ± 3.09 |     54.33 ± 8.84 |                       |                       |                       |          0.396 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c2) |    613.04 ± 1.94 |   381.35 ± 74.44 |                |                  |     5585.60 ± 1089.77 |     5583.14 ± 1089.77 |     5592.60 ± 1087.90 |          0.396 |        0.452 |
| qwen3.8-flash-next |   tg512 @ d65536 (c2) |     73.28 ± 3.64 |     41.11 ± 3.16 |  113.00 ± 4.32 |     59.67 ± 4.15 |                       |                       |                       |          0.396 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c4) |   2710.48 ± 1.68 |  986.72 ± 300.66 |                |                  |   73219.57 ± 22282.31 |   73217.11 ± 22282.31 |   73224.87 ± 22282.43 |          0.405 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c4) |     27.55 ± 2.75 |    19.08 ± 10.70 | 137.33 ± 12.36 |     48.09 ± 9.03 |                       |                       |                       |          0.405 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c4) |    636.63 ± 0.51 |   226.76 ± 84.85 |                |                  |    10074.66 ± 2825.97 |    10072.21 ± 2825.97 |    10077.11 ± 2823.78 |          0.405 |        0.452 |
| qwen3.8-flash-next |   tg512 @ d65536 (c4) |     88.90 ± 4.27 |     31.12 ± 5.15 |  182.33 ± 4.19 |     49.42 ± 3.09 |                       |                       |                       |          0.405 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c5) |   2686.99 ± 0.94 |  874.24 ± 320.97 |                |                  |   85296.96 ± 28412.25 |   85294.50 ± 28412.25 |   85299.90 ± 28412.50 |          0.421 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c5) |     22.92 ± 0.25 |    12.21 ± 10.68 |  162.33 ± 6.85 |     46.33 ± 9.98 |                       |                       |                       |          0.421 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c5) |    642.71 ± 0.20 |   193.59 ± 89.98 |                |                  |    12283.23 ± 3798.60 |    12280.77 ± 3798.60 |    12286.62 ± 3797.46 |          0.421 |        0.452 |
| qwen3.8-flash-next |   tg512 @ d65536 (c5) |     93.11 ± 2.36 |     27.78 ± 5.35 |  191.00 ± 5.66 |     46.27 ± 3.00 |                       |                       |                       |          0.421 |        0.452 |
| qwen3.8-flash-next |  ctx_pp @ d65536 (c8) |   2658.38 ± 5.61 |  556.39 ± 238.93 |                |                  |  136951.91 ± 46079.01 |  136949.45 ± 46079.01 |  136954.38 ± 46080.37 |          0.409 |        0.452 |
| qwen3.8-flash-next |  ctx_tg @ d65536 (c8) |     20.60 ± 1.54 |      8.54 ± 6.82 | 199.00 ± 16.75 |    36.67 ± 15.12 |                       |                       |                       |          0.409 |        0.452 |
| qwen3.8-flash-next |  pp2048 @ d65536 (c8) |    642.59 ± 0.44 |   150.77 ± 90.15 |                |                  |    17173.84 ± 6706.54 |    17171.38 ± 6706.54 |    17177.46 ± 6707.38 |          0.409 |        0.452 |
| qwen3.8-flash-next |   tg512 @ d65536 (c8) |     99.94 ± 1.45 |     19.12 ± 4.28 |  247.00 ± 4.32 |     38.71 ± 3.70 |                       |                       |                       |          0.409 |        0.452 |
| qwen3.8-flash-next | ctx_pp @ d65536 (c10) |   2638.20 ± 0.48 |  514.78 ± 242.03 |                |                  |  154117.29 ± 61143.01 |  154114.84 ± 61143.01 |  154120.80 ± 61144.92 |          0.402 |        0.452 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c10) |     19.89 ± 4.15 |      6.22 ± 6.62 | 220.67 ± 17.93 |    34.83 ± 12.56 |                       |                       |                       |          0.402 |        0.452 |
| qwen3.8-flash-next | pp2048 @ d65536 (c10) |    641.56 ± 0.49 |   134.41 ± 87.89 |                |                  |    20128.64 ± 8718.76 |    20126.18 ± 8718.76 |    20131.15 ± 8719.67 |          0.402 |        0.452 |
| qwen3.8-flash-next |  tg512 @ d65536 (c10) |    102.24 ± 0.65 |     16.01 ± 4.26 | 277.33 ± 16.42 |     35.13 ± 3.17 |                       |                       |                       |          0.402 |        0.452 |
| qwen3.8-flash-next | ctx_pp @ d65536 (c16) |   2597.54 ± 1.99 |  389.22 ± 247.18 |                |                  | 229265.31 ± 108930.60 | 229262.85 ± 108930.60 | 229269.05 ± 108932.66 |          0.411 |        0.452 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c16) |     19.97 ± 0.46 |      4.50 ± 5.04 | 283.00 ± 12.36 |    31.65 ± 11.93 |                       |                       |                       |          0.411 |        0.452 |
| qwen3.8-flash-next | pp2048 @ d65536 (c16) |    638.36 ± 0.38 |   101.61 ± 81.01 |                |                  |   29432.62 ± 14519.51 |   29430.16 ± 14519.51 |   29434.94 ± 14519.52 |          0.411 |        0.452 |
| qwen3.8-flash-next |  tg512 @ d65536 (c16) |    110.48 ± 0.08 |     11.56 ± 3.66 |  345.67 ± 8.18 |     30.58 ± 3.00 |                       |                       |                       |          0.411 |        0.452 |
