| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3048.32 ± 5.43 | 1815.94 ± 291.25 |                |                  |   9270.37 ± 1486.20 |   9268.05 ± 1486.20 |   9272.06 ± 1486.13 |            0.4 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     61.40 ± 5.27 |     38.83 ± 9.42 |  100.00 ± 0.82 |     57.83 ± 8.47 |                     |                     |                     |            0.4 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    811.77 ± 1.33 |   505.16 ± 98.95 |                |                  |    4218.18 ± 825.75 |    4215.86 ± 825.75 |    4220.43 ± 825.20 |            0.4 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     81.26 ± 3.82 |     45.52 ± 4.73 |  122.33 ± 8.50 |     64.33 ± 5.06 |                     |                     |                     |            0.4 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |  3084.46 ± 12.31 |  977.98 ± 183.66 |                |                  |  17354.97 ± 3144.96 |  17352.65 ± 3144.96 |  17356.98 ± 3145.29 |           0.39 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     76.78 ± 9.16 |     26.28 ± 8.71 | 163.00 ± 17.45 |     51.00 ± 6.95 |                     |                     |                     |           0.39 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    841.58 ± 1.04 |  296.87 ± 110.39 |                |                  |   7681.60 ± 2129.85 |   7679.28 ± 2129.85 |   7683.82 ± 2129.88 |           0.39 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    101.21 ± 3.08 |     32.35 ± 3.97 |  192.33 ± 8.73 |     52.33 ± 3.25 |                     |                     |                     |           0.39 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3088.97 ± 0.86 |  806.44 ± 193.33 |                |                  |  21468.27 ± 4730.95 |  21465.95 ± 4730.95 |  21470.48 ± 4731.04 |          0.405 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |    73.30 ± 10.98 |     23.94 ± 9.65 | 167.00 ± 17.91 |    44.40 ± 12.60 |                     |                     |                     |          0.405 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    851.30 ± 0.70 |  242.22 ± 100.78 |                |                  |   9472.25 ± 2563.23 |   9469.93 ± 2563.23 |   9474.55 ± 2562.92 |          0.405 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    115.28 ± 6.72 |     30.01 ± 4.40 | 215.33 ± 11.26 |     48.73 ± 3.51 |                     |                     |                     |          0.405 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3073.06 ± 1.39 |  634.59 ± 279.54 |                |                  | 30186.46 ± 10216.33 | 30184.14 ± 10216.33 | 30188.94 ± 10216.41 |          0.393 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     80.05 ± 2.80 |     17.64 ± 5.57 |  242.67 ± 9.46 |     40.75 ± 4.47 |                     |                     |                     |          0.393 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    850.22 ± 1.22 |  197.76 ± 117.06 |                |                  |  13047.86 ± 5071.47 |  13045.54 ± 5071.47 |  13049.91 ± 5071.57 |          0.393 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    119.52 ± 0.30 |     22.03 ± 4.25 |  265.67 ± 3.40 |     41.38 ± 3.71 |                     |                     |                     |          0.393 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |   3061.37 ± 0.61 |  585.81 ± 281.21 |                |                  | 34031.91 ± 13546.02 | 34029.59 ± 13546.02 | 34033.89 ± 13546.50 |          0.401 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     77.03 ± 2.52 |     14.34 ± 5.92 |  265.00 ± 4.55 |     38.30 ± 6.03 |                     |                     |                     |          0.401 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    849.03 ± 0.44 |  176.60 ± 114.49 |                |                  |  15273.43 ± 6599.64 |  15271.11 ± 6599.64 |  15275.21 ± 6599.69 |          0.401 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    125.85 ± 2.64 |     19.08 ± 4.47 | 308.33 ± 13.02 |     39.60 ± 3.37 |                     |                     |                     |          0.401 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |   3041.93 ± 1.61 |  448.99 ± 283.91 |                |                  | 49605.15 ± 23551.48 | 49602.83 ± 23551.48 | 49606.84 ± 23552.11 |          0.405 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     76.11 ± 2.67 |      9.82 ± 5.13 |  359.67 ± 5.79 |     35.21 ± 5.68 |                     |                     |                     |          0.405 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |    844.75 ± 0.68 |  133.94 ± 106.33 |                |                  | 22292.46 ± 10994.23 | 22290.14 ± 10994.23 | 22294.66 ± 10994.07 |          0.405 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    139.14 ± 1.53 |     14.23 ± 4.26 |  411.33 ± 5.79 |     34.50 ± 3.18 |                     |                     |                     |          0.405 |        0.329 |
