| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3045.92 ± 5.90 | 1815.65 ± 292.12 |                |                  |   9273.09 ± 1491.57 |   9271.38 ± 1491.57 |   9275.13 ± 1491.86 |          0.409 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     71.76 ± 0.72 |     41.06 ± 3.87 |  120.67 ± 8.96 |     65.33 ± 7.65 |                     |                     |                     |          0.409 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    809.37 ± 1.74 |   503.93 ± 99.03 |                |                  |    4229.04 ± 830.72 |    4227.32 ± 830.72 |    4230.45 ± 830.21 |          0.409 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     82.16 ± 1.43 |     44.78 ± 3.75 |  123.33 ± 6.02 |     66.50 ± 1.26 |                     |                     |                     |          0.409 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3085.91 ± 1.15 |  952.97 ± 152.04 |                |                  |  17653.00 ± 2796.15 |  17651.29 ± 2796.15 |  17654.86 ± 2796.41 |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     87.35 ± 3.04 |     28.45 ± 5.46 |  165.00 ± 4.55 |     53.33 ± 7.72 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    839.44 ± 3.23 |  296.30 ± 110.45 |                |                  |   7699.37 ± 2138.62 |   7697.65 ± 2138.62 |   7701.09 ± 2138.55 |          0.407 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    100.67 ± 3.21 |     32.75 ± 4.28 |  190.00 ± 4.24 |     52.33 ± 5.01 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3079.71 ± 3.91 |  803.53 ± 192.23 |                |                  |  21540.60 ± 4738.15 |  21538.88 ± 4738.15 |  21542.92 ± 4738.28 |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     88.66 ± 4.85 |     24.76 ± 6.38 | 191.67 ± 11.44 |     46.27 ± 5.50 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    847.31 ± 3.19 |  253.09 ± 116.30 |                |                  |   9362.20 ± 2858.84 |   9360.49 ± 2858.84 |   9364.60 ± 2858.68 |          0.403 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    109.79 ± 1.51 |     29.51 ± 4.06 |  209.33 ± 4.92 |     48.47 ± 3.36 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3067.96 ± 0.42 |  633.12 ± 278.68 |                |                  | 30247.94 ± 10228.09 | 30246.22 ± 10228.09 | 30249.59 ± 10228.45 |          0.393 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     79.56 ± 3.25 |     17.80 ± 5.69 |  250.67 ± 8.18 |     41.25 ± 4.31 |                     |                     |                     |          0.393 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    849.94 ± 0.44 |  198.27 ± 117.99 |                |                  |  13039.13 ± 5083.90 |  13037.41 ± 5083.90 |  13040.90 ± 5083.71 |          0.393 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    119.90 ± 1.99 |     21.82 ± 4.23 |  261.67 ± 8.34 |     40.50 ± 2.55 |                     |                     |                     |          0.393 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |  3044.99 ± 18.64 |  581.08 ± 278.41 |                |                  | 34271.67 ± 13597.43 | 34269.96 ± 13597.43 | 34273.53 ± 13597.51 |          0.403 |        0.325 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     75.22 ± 6.16 |     13.81 ± 6.17 | 267.67 ± 15.84 |     38.87 ± 5.12 |                     |                     |                     |          0.403 |        0.325 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    847.99 ± 0.84 |  178.84 ± 114.39 |                |                  |  14991.34 ± 6413.88 |  14989.63 ± 6413.88 |  14993.21 ± 6414.18 |          0.403 |        0.325 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    125.53 ± 1.02 |     19.47 ± 4.56 | 296.67 ± 19.14 |     39.38 ± 3.55 |                     |                     |                     |          0.403 |        0.325 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |   3039.01 ± 1.67 |  448.51 ± 283.67 |                |                  | 49657.94 ± 23574.47 | 49656.23 ± 23574.47 | 49660.35 ± 23574.65 |          0.409 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     72.88 ± 5.34 |      9.92 ± 5.73 |  362.67 ± 7.54 |     33.08 ± 8.19 |                     |                     |                     |          0.409 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |    843.62 ± 0.33 |  133.74 ± 106.19 |                |                  | 22321.21 ± 11006.78 | 22319.50 ± 11006.78 | 22323.50 ± 11006.88 |          0.409 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    139.42 ± 0.40 |     14.27 ± 4.23 |  397.67 ± 9.10 |     34.38 ± 3.12 |                     |                     |                     |          0.409 |        0.329 |
