| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2964.89 ± 60.73 | 1742.71 ± 263.78 |               |                  |   9624.05 ± 1452.16 |   9622.18 ± 1452.16 |   9624.05 ± 1452.16 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     35.32 ± 1.29 |     24.21 ± 6.38 |  49.67 ± 2.36 |     24.83 ± 6.36 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |  1331.04 ± 84.68 |  751.34 ± 118.47 |               |                  |    2791.77 ± 409.84 |    2789.90 ± 409.84 |    2791.77 ± 409.84 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     54.12 ± 5.32 |     29.98 ± 3.72 |  61.00 ± 4.08 |     30.50 ± 3.91 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   2972.76 ± 2.41 | 1065.36 ± 513.79 |               |                  |  18594.94 ± 7053.16 |  18593.07 ± 7053.16 |  18594.94 ± 7053.16 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     24.87 ± 0.39 |     11.41 ± 6.33 |  60.00 ± 3.74 |     12.00 ± 6.28 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1901.63 ± 55.68 |  436.12 ± 118.34 |               |                  |    4920.13 ± 843.96 |    4918.26 ± 843.96 |    4920.13 ± 843.96 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    83.71 ± 10.01 |     21.34 ± 2.90 | 109.00 ± 6.16 |     21.80 ± 2.99 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2933.48 ± 34.04 |  2933.48 ± 34.04 |               |                  |   11174.27 ± 128.58 |   11172.39 ± 128.58 |   11174.27 ± 128.58 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     31.36 ± 3.18 |     31.36 ± 3.18 |  32.00 ± 2.94 |     32.00 ± 2.94 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |   880.43 ± 37.44 |   880.43 ± 37.44 |               |                  |    2332.35 ± 102.17 |    2330.47 ± 102.17 |    2332.35 ± 102.17 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     37.05 ± 2.39 |     37.05 ± 2.39 |  37.33 ± 2.49 |     37.33 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   2959.66 ± 0.62 | 1928.81 ± 448.80 |               |                  |  17964.20 ± 4179.70 |  17962.33 ± 4179.70 |  17964.20 ± 4179.70 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     18.15 ± 1.75 |    19.05 ± 10.94 |  38.67 ± 1.70 |    19.33 ± 10.80 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1286.25 ± 40.77 |   676.21 ± 61.22 |               |                  |    3052.68 ± 245.21 |    3050.80 ± 245.21 |    3052.68 ± 245.21 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     56.14 ± 5.04 |     30.51 ± 3.78 |  62.00 ± 5.10 |     31.00 ± 3.61 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |   2950.64 ± 5.10 | 1179.29 ± 646.59 |               |                  | 35370.66 ± 14931.24 | 35368.78 ± 14931.24 | 35370.66 ± 14931.24 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     11.76 ± 0.48 |      8.10 ± 7.68 |  43.00 ± 2.83 |      8.60 ± 7.69 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1881.08 ± 20.56 |  428.25 ± 134.53 |               |                  |    5040.92 ± 837.66 |    5039.05 ± 837.66 |    5040.92 ± 837.66 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    82.68 ± 10.44 |     21.77 ± 3.27 | 110.67 ± 7.36 |     22.13 ± 3.24 |                     |                     |                     |
