| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     61.41 ± 4.62 |     32.32 ± 2.76 |   65.33 ± 3.86 |     32.67 ± 2.69 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  3000.57 ± 27.28 |  664.41 ± 120.96 |                |                  |    3165.57 ± 427.86 |    3162.58 ± 427.86 |    3165.57 ± 427.86 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     92.48 ± 6.21 |     22.60 ± 2.15 |  115.33 ± 4.50 |     23.07 ± 2.08 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1863.99 ± 17.31 |  470.54 ± 157.21 |                |                  |   4673.52 ± 1001.44 |   4670.53 ± 1001.44 |   4673.52 ± 1001.44 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     73.99 ± 8.54 |     20.74 ± 3.22 |  105.67 ± 0.47 |     21.20 ± 3.23 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2868.99 ± 22.96 |  2868.99 ± 22.96 |                |                  |     1431.46 ± 11.41 |     1428.47 ± 11.41 |     1431.46 ± 11.41 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     37.07 ± 1.48 |     37.07 ± 1.48 |   37.33 ± 1.25 |     37.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    986.35 ± 1.26 |    986.35 ± 1.26 |                |                  |      2079.34 ± 2.66 |      2076.35 ± 2.66 |      2079.34 ± 2.66 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     38.63 ± 1.11 |     38.63 ± 1.11 |   39.33 ± 1.25 |     39.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |   2933.53 ± 8.28 |   1470.01 ± 4.32 |                |                  |      2790.74 ± 8.18 |      2787.75 ± 8.18 |      2790.74 ± 8.18 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     58.39 ± 7.47 |     29.75 ± 4.04 |   60.67 ± 7.76 |     30.33 ± 3.94 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1444.70 ± 5.99 |  807.95 ± 120.83 |                |                  |    2590.15 ± 349.99 |    2587.17 ± 349.99 |    2590.15 ± 349.99 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     55.55 ± 3.23 |     30.51 ± 1.65 |   61.67 ± 0.47 |     30.83 ± 1.57 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   3025.43 ± 3.20 |  734.28 ± 169.67 |                |                  |   5840.06 ± 1118.32 |   5837.07 ± 1118.32 |   5840.06 ± 1118.32 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     72.97 ± 2.01 |     19.93 ± 3.16 |  102.00 ± 3.56 |     20.47 ± 3.24 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  2017.78 ± 25.44 |  523.43 ± 187.97 |                |                  |   4267.73 ± 1005.29 |   4264.74 ± 1005.29 |   4267.73 ± 1005.29 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    83.72 ± 13.79 |     22.12 ± 4.07 | 112.33 ± 12.81 |     22.47 ± 4.15 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2961.59 ± 1.92 |   2961.59 ± 1.92 |                |                  |      2769.64 ± 1.95 |      2766.65 ± 1.95 |      2769.64 ± 1.95 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     35.45 ± 0.62 |     35.45 ± 0.62 |   36.00 ± 0.82 |     36.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   907.75 ± 79.56 |   907.75 ± 79.56 |                |                  |    2277.74 ± 212.55 |    2274.75 ± 212.55 |    2277.74 ± 212.55 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     38.99 ± 1.98 |     38.99 ± 1.98 |   39.33 ± 2.05 |     39.33 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2966.21 ± 81.34 |  1513.01 ± 46.36 |                |                  |    5423.77 ± 169.85 |    5420.78 ± 169.85 |    5423.77 ± 169.85 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     55.23 ± 3.51 |     31.29 ± 2.30 |   63.33 ± 4.19 |     31.67 ± 2.21 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1430.96 ± 2.74 |    717.11 ± 1.53 |                |                  |      2858.93 ± 6.11 |      2855.94 ± 6.11 |      2858.93 ± 6.11 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     63.71 ± 1.45 |     33.51 ± 1.76 |   68.00 ± 0.82 |     34.00 ± 1.73 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  3014.59 ± 38.85 |  918.37 ± 358.45 |                |                  |  10137.05 ± 3212.33 |  10134.06 ± 3212.33 |  10137.05 ± 3212.33 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     44.65 ± 0.58 |     16.56 ± 5.99 |   84.67 ± 1.25 |     16.93 ± 5.80 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  2005.30 ± 30.40 |  519.00 ± 191.01 |                |                  |   4319.73 ± 1033.66 |   4316.74 ± 1033.66 |   4319.73 ± 1033.66 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    81.26 ± 12.32 |     21.71 ± 3.55 |  111.33 ± 8.99 |     22.27 ± 3.55 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2894.69 ± 76.43 |  2894.69 ± 76.43 |                |                  |    5667.73 ± 152.31 |    5664.74 ± 152.31 |    5667.73 ± 152.31 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     35.39 ± 1.33 |     35.39 ± 1.33 |   36.00 ± 1.41 |     36.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |   930.24 ± 19.17 |   930.24 ± 19.17 |                |                  |     2205.51 ± 46.04 |     2202.52 ± 46.04 |     2205.51 ± 46.04 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     35.85 ± 2.48 |     35.85 ± 2.48 |   36.33 ± 2.62 |     36.33 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  3006.69 ± 43.91 | 1769.65 ± 267.79 |                |                  |   9478.97 ± 1431.72 |   9475.98 ± 1431.72 |   9478.97 ± 1431.72 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     33.98 ± 3.47 |     25.83 ± 7.10 |   52.67 ± 1.25 |     26.33 ± 7.06 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   1406.71 ± 8.51 |  788.67 ± 121.31 |                |                  |    2656.41 ± 368.29 |    2653.42 ± 368.29 |    2656.41 ± 368.29 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     57.79 ± 4.35 |     32.17 ± 3.80 |   65.33 ± 2.36 |     32.67 ± 3.77 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   3022.32 ± 4.64 | 1082.14 ± 519.93 |                |                  |  18289.42 ± 6926.91 |  18286.43 ± 6926.91 |  18289.42 ± 6926.91 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     25.27 ± 0.29 |     11.84 ± 6.61 |   61.67 ± 1.25 |     12.33 ± 6.66 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1983.41 ± 21.66 |  450.95 ± 140.09 |                |                  |    4784.39 ± 790.83 |    4781.41 ± 790.83 |    4784.39 ± 790.83 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    86.75 ± 10.54 |     22.22 ± 2.81 |  113.33 ± 4.03 |     22.67 ± 2.72 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2942.98 ± 44.71 |  2942.98 ± 44.71 |                |                  |   11140.49 ± 167.40 |   11137.50 ± 167.40 |   11140.49 ± 167.40 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     35.84 ± 2.83 |     35.84 ± 2.83 |   36.33 ± 2.87 |     36.33 ± 2.87 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    907.07 ± 1.36 |    907.07 ± 1.36 |                |                  |      2260.81 ± 3.40 |      2257.82 ± 3.40 |      2260.81 ± 3.40 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     37.65 ± 1.80 |     37.65 ± 1.80 |   38.33 ± 1.89 |     38.33 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   2970.63 ± 7.57 | 1962.17 ± 476.62 |                |                  |  17751.14 ± 4311.23 |  17748.15 ± 4311.23 |  17751.14 ± 4311.23 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     19.85 ± 0.36 |    20.40 ± 10.54 |   42.00 ± 2.83 |    21.00 ± 10.47 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1342.20 ± 12.32 |  750.17 ± 113.54 |                |                  |    2790.77 ± 381.58 |    2787.78 ± 381.58 |    2790.77 ± 381.58 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     56.33 ± 4.23 |     30.65 ± 3.00 |   62.67 ± 2.87 |     31.33 ± 3.04 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2938.19 ± 86.79 | 1160.02 ± 623.24 |                |                  | 35676.90 ± 14923.46 | 35673.91 ± 14923.46 | 35676.90 ± 14923.46 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.66 ± 0.69 |      8.47 ± 7.90 |   45.00 ± 0.82 |      9.00 ± 8.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1876.12 ± 15.49 |  466.14 ± 169.06 |                |                  |   4776.24 ± 1065.07 |   4773.25 ± 1065.07 |   4776.24 ± 1065.07 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    82.22 ± 12.47 |     22.63 ± 3.85 |  115.33 ± 8.50 |     23.07 ± 3.89 |                     |                     |                     |
