| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     51.19 ± 4.04 |     17.80 ± 5.94 | 132.67 ± 11.61 |     31.07 ± 5.27 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |    940.74 ± 7.25 |  387.00 ± 253.81 |                |                  |   7119.54 ± 3046.87 |   7116.86 ± 3046.87 |   7119.54 ± 3046.87 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     38.60 ± 2.70 |     15.98 ± 8.09 | 115.67 ± 12.36 |     29.03 ± 7.78 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2690.33 ± 88.62 |  2690.33 ± 88.62 |                |                  |    3051.73 ± 101.11 |    3049.05 ± 101.11 |    3051.73 ± 101.11 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     33.45 ± 4.60 |     33.45 ± 4.60 |   40.67 ± 4.50 |     40.67 ± 4.50 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    568.35 ± 1.81 |    568.35 ± 1.81 |                |                  |     3606.16 ± 11.48 |     3603.47 ± 11.48 |     3606.16 ± 11.48 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     35.37 ± 8.34 |     35.37 ± 8.34 |   40.41 ± 5.90 |     40.41 ± 5.90 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2783.54 ± 91.83 | 1646.33 ± 262.87 |                |                  |    5108.65 ± 809.80 |    5105.96 ± 809.80 |    5108.65 ± 809.80 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     45.87 ± 3.40 |     29.57 ± 6.77 |   81.67 ± 4.11 |     44.00 ± 4.69 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   558.95 ± 15.49 |   376.60 ± 98.37 |                |                  |   5834.91 ± 1512.74 |   5832.22 ± 1512.74 |   5834.91 ± 1512.74 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     31.24 ± 3.60 |     22.41 ± 5.82 |   67.00 ± 2.94 |     36.50 ± 4.19 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2794.11 ± 34.22 | 1014.34 ± 494.26 |                |                  |   9814.29 ± 3776.93 |   9811.61 ± 3776.93 |   9814.29 ± 3776.93 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     40.83 ± 0.74 |     16.07 ± 6.40 |  145.33 ± 1.70 |     32.80 ± 2.74 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |    562.92 ± 6.37 |  226.22 ± 131.39 |                |                  |  11706.06 ± 4976.10 |  11703.37 ± 4976.10 |  11706.06 ± 4976.10 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     30.16 ± 1.91 |     12.20 ± 6.45 |  114.33 ± 1.70 |     26.60 ± 4.21 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2776.16 ± 90.81 |  2776.16 ± 90.81 |                |                  |    5911.56 ± 197.81 |    5908.87 ± 197.81 |    5913.35 ± 197.64 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     40.96 ± 1.64 |     40.96 ± 1.64 |   51.33 ± 4.03 |     51.33 ± 4.03 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    315.39 ± 2.18 |    315.39 ± 2.18 |                |                  |     6496.47 ± 45.03 |     6493.79 ± 45.03 |     6498.00 ± 45.03 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     30.74 ± 1.01 |     30.74 ± 1.01 |   36.33 ± 0.94 |     36.33 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2692.35 ± 107.28 | 1737.07 ± 403.25 |                |                  |   9961.91 ± 2278.65 |   9959.22 ± 2278.65 |   9963.95 ± 2278.45 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     30.86 ± 2.46 |    26.57 ± 12.13 |  83.67 ± 13.91 |     43.83 ± 6.87 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |    311.42 ± 4.06 |   220.18 ± 64.51 |                |                  |  10176.99 ± 2979.57 |  10174.31 ± 2979.57 |  10178.95 ± 2979.34 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     25.32 ± 1.30 |     22.32 ± 9.63 |  76.67 ± 12.28 |     39.67 ± 7.93 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   2833.58 ± 2.10 | 1148.25 ± 639.71 |                |                  |  18302.95 ± 7827.15 |  18300.27 ± 7827.15 |  18304.56 ± 7827.41 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.08 ± 0.59 |     12.44 ± 8.80 |  142.33 ± 1.25 |     33.13 ± 4.57 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |    315.13 ± 0.34 |   134.98 ± 82.41 |                |                  |  20201.64 ± 9048.45 |  20198.96 ± 9048.45 |  20203.48 ± 9048.35 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     19.12 ± 1.70 |     10.29 ± 7.48 |  111.33 ± 8.73 |     27.60 ± 7.25 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2840.87 ± 11.95 |  2840.87 ± 11.95 |                |                  |    11538.09 ± 48.65 |    11535.41 ± 48.65 |    11540.71 ± 48.57 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     41.91 ± 6.30 |     41.91 ± 6.30 |   53.67 ± 6.13 |     53.67 ± 6.13 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    167.19 ± 0.54 |    167.19 ± 0.54 |                |                  |    12252.58 ± 39.44 |    12249.89 ± 39.44 |    12254.37 ± 39.95 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     40.20 ± 8.28 |     40.20 ± 8.28 |   47.33 ± 8.81 |     47.33 ± 8.81 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   2837.05 ± 6.33 | 1987.45 ± 568.68 |                |                  |  17961.16 ± 5138.27 |  17958.48 ± 5138.27 |  17962.94 ± 5138.64 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     17.79 ± 1.00 |    21.28 ± 12.98 |   76.00 ± 7.35 |     41.00 ± 7.23 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |    166.34 ± 0.17 |   121.00 ± 37.82 |                |                  |  18760.17 ± 5862.00 |  18757.48 ± 5862.00 |  18762.39 ± 5862.38 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     14.66 ± 1.37 |    17.90 ± 10.48 |   68.00 ± 7.12 |     35.83 ± 4.67 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |   2824.15 ± 1.15 | 1216.17 ± 725.04 |                |                  | 35705.20 ± 16084.58 | 35702.52 ± 16084.58 | 35707.66 ± 16084.65 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.68 ± 0.03 |      9.53 ± 9.50 |  137.67 ± 7.72 |     33.07 ± 6.73 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |    166.24 ± 0.22 |    73.62 ± 45.97 |                |                  | 37604.54 ± 17301.47 | 37601.85 ± 17301.47 | 37607.16 ± 17301.55 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |     11.52 ± 0.34 |      8.07 ± 7.53 |  116.33 ± 4.03 |     27.07 ± 3.02 |                     |                     |                     |
