| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1819.81 ± 54.98 |   423.21 ± 71.28 |                |                  |    4970.34 ± 763.98 |    4967.52 ± 763.98 |    4970.34 ± 763.98 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     83.80 ± 2.67 |     21.57 ± 4.18 |  110.33 ± 9.74 |     22.13 ± 4.18 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |   2861.49 ± 4.05 |   2861.49 ± 4.05 |                |                  |      1435.07 ± 1.90 |      1432.24 ± 1.90 |      1435.07 ± 1.90 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     34.78 ± 3.36 |     34.78 ± 3.36 |   35.33 ± 3.09 |     35.33 ± 3.09 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |   927.82 ± 81.29 |   927.82 ± 81.29 |                |                  |    2228.36 ± 207.85 |    2225.54 ± 207.85 |    2228.36 ± 207.85 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     34.76 ± 1.51 |     34.76 ± 1.51 |   35.00 ± 1.41 |     35.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2725.90 ± 295.79 | 1365.92 ± 148.51 |                |                  |    3041.63 ± 357.50 |    3038.80 ± 357.50 |    3041.63 ± 357.50 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     57.33 ± 5.25 |     30.36 ± 2.66 |   61.67 ± 4.03 |     30.83 ± 2.85 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1440.40 ± 5.17 |   739.13 ± 25.27 |                |                  |     2776.81 ± 92.65 |     2773.98 ± 92.65 |     2776.81 ± 92.65 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     56.41 ± 2.96 |     30.06 ± 2.70 |   61.33 ± 3.40 |     30.67 ± 2.75 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2968.20 ± 79.73 |  717.96 ± 164.65 |                |                  |   5968.59 ± 1137.32 |   5965.77 ± 1137.32 |   5968.59 ± 1137.32 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     68.44 ± 2.48 |     18.57 ± 2.60 |   95.33 ± 3.40 |     19.20 ± 2.71 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  2020.12 ± 58.64 |   441.82 ± 85.65 |                |                  |    4762.60 ± 651.85 |    4759.77 ± 651.85 |    4762.60 ± 651.85 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    88.20 ± 10.98 |     22.19 ± 2.53 |  114.00 ± 6.16 |     22.87 ± 2.47 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2839.17 ± 174.39 | 2839.17 ± 174.39 |                |                  |    2900.18 ± 186.03 |    2897.36 ± 186.03 |    2900.18 ± 186.03 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     32.91 ± 1.35 |     32.91 ± 1.35 |   33.33 ± 1.25 |     33.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    964.93 ± 1.26 |    964.93 ± 1.26 |                |                  |      2125.26 ± 2.76 |      2122.44 ± 2.76 |      2125.26 ± 2.76 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     42.30 ± 5.35 |     42.30 ± 5.35 |   42.67 ± 5.44 |     42.67 ± 5.44 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2949.42 ± 67.13 |  1500.18 ± 42.47 |                |                  |    5469.27 ± 156.33 |    5466.44 ± 156.33 |    5469.27 ± 156.33 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     51.10 ± 2.80 |     26.86 ± 1.95 |   54.33 ± 3.68 |     27.17 ± 1.95 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1419.00 ± 4.88 |  797.02 ± 123.41 |                |                  |    2629.15 ± 366.57 |    2626.33 ± 366.57 |    2629.15 ± 366.57 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     56.34 ± 5.41 |     30.64 ± 2.09 |   62.00 ± 3.56 |     31.00 ± 2.08 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2921.02 ± 29.43 |  891.85 ± 351.90 |                |                  |  10451.11 ± 3310.46 |  10448.28 ± 3310.46 |  10451.11 ± 3310.46 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     42.11 ± 1.01 |     15.00 ± 5.42 |   77.33 ± 3.86 |     15.47 ± 5.38 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1995.47 ± 24.42 |  512.47 ± 187.94 |                |                  |   4373.44 ± 1046.58 |   4370.62 ± 1046.58 |   4373.44 ± 1046.58 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    81.09 ± 15.10 |     21.68 ± 3.79 | 111.33 ± 11.67 |     22.27 ± 3.84 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2857.13 ± 109.87 | 2857.13 ± 109.87 |                |                  |    5746.47 ± 215.19 |    5743.64 ± 215.19 |    5746.47 ± 215.19 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     33.69 ± 2.97 |     33.69 ± 2.97 |   34.00 ± 2.83 |     34.00 ± 2.83 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |   911.52 ± 53.51 |   911.52 ± 53.51 |                |                  |    2257.72 ± 138.10 |    2254.89 ± 138.10 |    2257.72 ± 138.10 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     37.15 ± 1.47 |     37.15 ± 1.47 |   38.00 ± 1.41 |     38.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2944.33 ± 71.60 | 1751.25 ± 280.59 |                |                  |   9606.82 ± 1544.37 |   9603.99 ± 1544.37 |   9606.82 ± 1544.37 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     33.85 ± 0.98 |     23.53 ± 6.28 |   48.00 ± 0.00 |     24.00 ± 6.40 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   1401.62 ± 5.92 |  786.08 ± 119.51 |                |                  |    2663.68 ± 365.29 |    2660.85 ± 365.29 |    2663.68 ± 365.29 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     55.86 ± 6.44 |     30.47 ± 3.43 |   62.00 ± 3.74 |     31.00 ± 3.32 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2995.59 ± 16.45 | 1073.59 ± 519.34 |                |                  |  18468.54 ± 7013.01 |  18465.72 ± 7013.01 |  18468.54 ± 7013.01 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     24.73 ± 0.09 |     11.15 ± 5.99 |   58.00 ± 2.16 |     11.60 ± 5.95 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1961.03 ± 21.57 |  492.10 ± 183.13 |                |                  |   4543.95 ± 1038.47 |   4541.12 ± 1038.47 |   4543.95 ± 1038.47 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    75.32 ± 10.79 |     20.86 ± 4.41 | 107.00 ± 14.90 |     21.47 ± 4.43 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2870.37 ± 91.07 |  2870.37 ± 91.07 |                |                  |   11430.77 ± 356.62 |   11427.94 ± 356.62 |   11430.77 ± 356.62 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     28.15 ± 1.87 |     28.15 ± 1.87 |   28.67 ± 1.70 |     28.67 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |   767.27 ± 90.01 |   767.27 ± 90.01 |                |                  |    2707.62 ± 304.19 |    2704.79 ± 304.19 |    2707.62 ± 304.19 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     35.16 ± 3.35 |     35.16 ± 3.35 |   35.67 ± 3.40 |     35.67 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   3009.30 ± 3.76 | 1968.89 ± 464.04 |                |                  |  17625.70 ± 4153.47 |  17622.87 ± 4153.47 |  17625.70 ± 4153.47 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     17.26 ± 2.06 |     18.61 ± 9.68 |   38.33 ± 1.89 |     19.17 ± 9.58 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) | 1123.58 ± 150.29 |  660.75 ± 121.61 |                |                  |    3214.04 ± 612.53 |    3211.22 ± 612.53 |    3214.04 ± 612.53 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     50.89 ± 4.66 |     28.69 ± 4.03 |   58.33 ± 1.25 |     29.17 ± 3.93 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2987.03 ± 26.05 | 1201.22 ± 668.45 |                |                  | 34954.46 ± 14877.96 | 34951.63 ± 14877.96 | 34954.46 ± 14877.96 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.55 ± 1.29 |      8.79 ± 7.86 |   46.33 ± 2.62 |      9.27 ± 7.84 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) | 1726.38 ± 107.22 |  407.55 ± 146.14 |                |                  |   5414.10 ± 1126.15 |   5411.27 ± 1126.15 |   5414.10 ± 1126.15 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |     82.42 ± 8.96 |     21.78 ± 2.85 |  110.67 ± 5.25 |     22.13 ± 2.90 |                     |                     |                     |
