| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     59.06 ± 7.74 |     32.14 ± 5.49 |   65.33 ± 9.46 |     32.67 ± 5.62 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) | 2587.29 ± 598.82 |  560.62 ± 145.60 |                |                  |   3953.14 ± 1170.11 |   3951.37 ± 1170.11 |   3953.14 ± 1170.11 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    78.82 ± 13.16 |     18.77 ± 3.25 |  96.00 ± 14.17 |     19.20 ± 3.21 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1349.81 ± 378.66 |   297.77 ± 97.46 |                |                  |   7617.40 ± 2349.83 |   7615.62 ± 2349.83 |   7617.40 ± 2349.83 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    71.62 ± 13.52 |     19.43 ± 4.14 |  99.67 ± 16.98 |     19.93 ± 4.17 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2424.45 ± 630.17 | 2424.45 ± 630.17 |                |                  |    1844.70 ± 586.74 |    1842.92 ± 586.74 |    1844.70 ± 586.74 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     30.71 ± 7.85 |     30.71 ± 7.85 |   31.00 ± 7.79 |     31.00 ± 7.79 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  819.81 ± 225.53 |  819.81 ± 225.53 |                |                  |    2758.96 ± 941.65 |    2757.18 ± 941.65 |    2758.96 ± 941.65 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     37.55 ± 2.82 |     37.55 ± 2.82 |   38.00 ± 2.94 |     38.00 ± 2.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2440.02 ± 682.70 | 1222.33 ± 342.20 |                |                  |   3717.19 ± 1296.97 |   3715.41 ± 1296.97 |   3717.19 ± 1296.97 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     54.66 ± 6.62 |     29.88 ± 5.48 |   60.67 ± 9.29 |     30.33 ± 5.34 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |  1371.96 ± 74.03 |   696.91 ± 49.02 |                |                  |    2955.13 ± 209.22 |    2953.35 ± 209.22 |    2955.13 ± 209.22 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     58.43 ± 6.51 |     32.05 ± 4.73 |   65.33 ± 5.44 |     32.67 ± 4.75 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) | 2542.70 ± 673.69 |  619.46 ± 219.52 |                |                  |   7566.65 ± 2901.42 |   7564.87 ± 2901.42 |   7566.65 ± 2901.42 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     61.45 ± 9.00 |     18.13 ± 4.29 |  93.00 ± 11.22 |     18.67 ± 4.30 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   2049.51 ± 0.25 |   448.74 ± 91.88 |                |                  |    4694.09 ± 636.52 |    4692.32 ± 636.52 |    4694.09 ± 636.52 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    77.75 ± 12.71 |     20.06 ± 5.45 | 103.00 ± 18.46 |     20.60 ± 5.51 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2957.35 ± 6.25 |   2957.35 ± 6.25 |                |                  |      2772.51 ± 5.85 |      2770.74 ± 5.85 |      2772.51 ± 5.85 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     30.06 ± 2.26 |     30.06 ± 2.26 |   30.67 ± 2.36 |     30.67 ± 2.36 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  809.09 ± 219.90 |  809.09 ± 219.90 |                |                  |    2787.77 ± 937.33 |    2785.99 ± 937.33 |    2787.77 ± 937.33 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     33.07 ± 4.80 |     33.07 ± 4.80 |   33.67 ± 4.92 |     33.67 ± 4.92 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) | 2636.37 ± 507.49 | 1342.44 ± 257.39 |                |                  |   6375.89 ± 1412.68 |   6374.11 ± 1412.68 |   6375.89 ± 1412.68 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     48.82 ± 7.65 |     26.08 ± 3.39 |   53.33 ± 6.24 |     26.67 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) | 1206.06 ± 300.17 |  651.76 ± 197.16 |                |                  |   3482.25 ± 1153.65 |   3480.48 ± 1153.65 |   3482.25 ± 1153.65 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     54.99 ± 4.67 |     29.48 ± 2.83 |   60.00 ± 3.27 |     30.00 ± 2.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) | 2677.60 ± 512.24 |  788.54 ± 354.96 |                |                  |  12331.89 ± 4752.76 |  12330.11 ± 4752.76 |  12331.89 ± 4752.76 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     39.07 ± 4.99 |     14.09 ± 4.77 |   72.33 ± 8.81 |     14.47 ± 4.70 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1675.74 ± 425.51 |  441.30 ± 231.93 |                |                  |   5825.76 ± 2542.89 |   5823.99 ± 2542.89 |   5825.76 ± 2542.89 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     66.15 ± 2.20 |     19.05 ± 3.82 |   97.33 ± 9.74 |     19.47 ± 3.84 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2537.56 ± 649.80 | 2537.56 ± 649.80 |                |                  |   7021.02 ± 2194.64 |   7019.24 ± 2194.64 |   7021.02 ± 2194.64 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     33.30 ± 3.79 |     33.30 ± 3.79 |   33.67 ± 3.40 |     33.67 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |  813.98 ± 186.79 |  813.98 ± 186.79 |                |                  |    2686.57 ± 735.41 |    2684.80 ± 735.41 |    2686.57 ± 735.41 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     37.67 ± 8.44 |     37.67 ± 8.44 |   38.33 ± 8.26 |     38.33 ± 8.26 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2604.24 ± 287.22 | 1497.81 ± 281.35 |                |                  |  11299.08 ± 1937.69 |  11297.30 ± 1937.69 |  11299.08 ± 1937.69 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     32.31 ± 2.11 |     21.78 ± 5.14 |   44.67 ± 2.62 |     22.33 ± 5.19 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 1189.77 ± 299.54 |  680.09 ± 233.81 |                |                  |   3468.83 ± 1359.59 |   3467.06 ± 1359.59 |   3468.83 ± 1359.59 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     52.91 ± 4.06 |     29.17 ± 3.45 |   59.67 ± 5.73 |     29.83 ± 3.44 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2787.93 ± 41.06 | 1078.81 ± 535.74 |                |                  |  18695.18 ± 7572.94 |  18693.40 ± 7572.94 |  18695.18 ± 7572.94 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     20.49 ± 0.95 |      7.97 ± 3.81 |   43.00 ± 0.82 |      8.67 ± 3.89 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1250.87 ± 58.82 |   274.17 ± 66.85 |                |                  |   7742.02 ± 1135.09 |   7740.25 ± 1135.09 |   7742.02 ± 1135.09 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    79.69 ± 12.25 |     22.36 ± 3.60 |  114.33 ± 3.68 |     22.87 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) | 2613.70 ± 337.06 | 2613.70 ± 337.06 |                |                  |  12761.73 ± 1728.25 |  12759.95 ± 1728.25 |  12761.73 ± 1728.25 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     29.05 ± 2.78 |     29.05 ± 2.78 |   29.67 ± 2.49 |     29.67 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  642.37 ± 192.54 |  642.37 ± 192.54 |                |                  |    3445.35 ± 852.04 |    3443.58 ± 852.04 |    3445.35 ± 852.04 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     31.31 ± 5.48 |     31.31 ± 5.48 |   31.67 ± 5.31 |     31.67 ± 5.31 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) | 2283.48 ± 289.48 | 1541.55 ± 503.63 |                |                  |  23417.14 ± 6794.57 |  23415.37 ± 6794.57 |  23417.14 ± 6794.57 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     15.75 ± 2.88 |     17.35 ± 9.95 |   35.67 ± 4.78 |    17.83 ± 10.06 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) | 1130.69 ± 284.33 |  630.38 ± 167.80 |                |                  |   3521.33 ± 1068.51 |   3519.55 ± 1068.51 |   3521.33 ± 1068.51 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     49.71 ± 7.75 |     28.52 ± 4.84 |   58.00 ± 7.79 |     29.00 ± 4.80 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) | 2469.35 ± 137.05 | 1016.77 ± 628.88 |                |                  | 42382.52 ± 18271.90 | 42380.75 ± 18271.90 | 42382.52 ± 18271.90 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |      9.89 ± 0.34 |      7.17 ± 6.95 |   38.33 ± 2.05 |      7.67 ± 6.98 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) | 1575.05 ± 432.22 |  395.93 ± 162.86 |                |                  |   6045.21 ± 2465.36 |   6043.44 ± 2465.36 |   6045.21 ± 2465.36 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    69.57 ± 20.49 |     19.52 ± 4.67 |  99.67 ± 16.13 |     20.00 ± 4.72 |                     |                     |                     |
