| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |  1425.60 ± 12.22 |   724.69 ± 23.39 |               |                  |     2831.28 ± 87.08 |     2828.84 ± 87.08 |     2831.28 ± 87.08 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     61.86 ± 4.40 |     31.40 ± 1.58 |  64.00 ± 2.83 |     32.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   3027.11 ± 2.41 |  735.46 ± 170.51 |               |                  |   5831.55 ± 1120.42 |   5829.10 ± 1120.42 |   5831.55 ± 1120.42 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     68.83 ± 2.37 |     20.06 ± 3.18 | 102.67 ± 4.03 |     20.53 ± 3.28 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  2066.85 ± 10.93 |  488.63 ± 118.22 |               |                  |    4382.05 ± 790.83 |    4379.61 ± 790.83 |    4382.05 ± 790.83 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     83.41 ± 8.48 |     21.95 ± 3.33 | 112.00 ± 6.98 |     22.40 ± 3.32 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2963.60 ± 5.52 |   2963.60 ± 5.52 |               |                  |      2767.33 ± 5.15 |      2764.89 ± 5.15 |      2767.33 ± 5.15 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     34.79 ± 2.11 |     34.79 ± 2.11 |  35.33 ± 2.05 |     35.33 ± 2.05 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    970.05 ± 3.75 |    970.05 ± 3.75 |               |                  |      2113.71 ± 8.15 |      2111.27 ± 8.15 |      2113.71 ± 8.15 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     37.75 ± 3.88 |     37.75 ± 3.88 |  38.00 ± 4.08 |     38.00 ± 4.08 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   3007.20 ± 2.44 |  1529.91 ± 25.66 |               |                  |     5359.81 ± 89.83 |     5357.37 ± 89.83 |     5359.81 ± 89.83 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     56.59 ± 5.15 |     29.19 ± 2.59 |  59.33 ± 5.25 |     29.67 ± 2.81 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1415.12 ± 7.60 |   752.09 ± 98.77 |               |                  |    2764.12 ± 293.83 |    2761.68 ± 293.83 |    2764.12 ± 293.83 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     58.15 ± 5.83 |     33.00 ± 5.06 |  67.00 ± 7.12 |     33.50 ± 5.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |   3046.57 ± 6.09 |  919.07 ± 351.72 |               |                  |  10075.45 ± 3126.69 |  10073.01 ± 3126.69 |  10075.45 ± 3126.69 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     43.02 ± 1.53 |     15.82 ± 5.30 |  81.00 ± 0.82 |     16.20 ± 5.32 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |   2027.98 ± 1.26 |   427.30 ± 40.49 |               |                  |    4833.26 ± 400.88 |    4830.82 ± 400.88 |    4833.26 ± 400.88 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     92.84 ± 1.98 |     22.82 ± 3.17 | 116.67 ± 7.59 |     23.33 ± 3.20 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |   3016.98 ± 1.02 |   3016.98 ± 1.02 |               |                  |      5433.59 ± 1.98 |      5431.14 ± 1.98 |      5433.59 ± 1.98 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     32.83 ± 1.26 |     32.83 ± 1.26 |  33.00 ± 1.41 |     33.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    956.55 ± 3.14 |    956.55 ± 3.14 |               |                  |      2143.49 ± 7.01 |      2141.04 ± 7.01 |      2143.49 ± 7.01 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     37.10 ± 1.58 |     37.10 ± 1.58 |  37.33 ± 1.70 |     37.33 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |   3025.55 ± 1.03 | 1783.78 ± 270.64 |               |                  |   9404.89 ± 1426.46 |   9402.45 ± 1426.46 |   9404.89 ± 1426.46 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     33.96 ± 1.63 |     23.08 ± 5.59 |  47.00 ± 2.45 |     23.50 ± 5.74 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   1396.97 ± 5.20 |    700.04 ± 2.75 |               |                  |     2928.02 ± 11.47 |     2925.58 ± 11.47 |     2928.02 ± 11.47 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     67.13 ± 7.59 |     35.11 ± 3.60 |  71.00 ± 5.89 |     35.50 ± 3.69 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   3048.18 ± 3.21 | 1092.32 ± 526.88 |               |                  |  18138.77 ± 6881.09 |  18136.32 ± 6881.09 |  18138.77 ± 6881.09 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     25.07 ± 0.27 |     11.13 ± 5.79 |  58.33 ± 0.94 |     11.67 ± 5.72 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1959.59 ± 15.98 |  487.69 ± 185.59 |               |                  |   4599.01 ± 1062.34 |   4596.56 ± 1062.34 |   4599.01 ± 1062.34 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     79.37 ± 9.19 |     21.73 ± 3.42 | 110.33 ± 5.19 |     22.07 ± 3.40 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |   2999.07 ± 1.69 |   2999.07 ± 1.69 |               |                  |     10929.15 ± 6.17 |     10926.71 ± 6.17 |     10929.15 ± 6.17 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     32.73 ± 1.92 |     32.73 ± 1.92 |  33.00 ± 2.16 |     33.00 ± 2.16 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    917.80 ± 4.47 |    917.80 ± 4.47 |               |                  |     2233.93 ± 10.86 |     2231.49 ± 10.86 |     2233.93 ± 10.86 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     36.57 ± 1.80 |     36.57 ± 1.80 |  37.33 ± 1.70 |     37.33 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   3013.37 ± 2.21 | 1970.75 ± 463.87 |               |                  |  17605.76 ± 4143.45 |  17603.31 ± 4143.45 |  17605.76 ± 4143.45 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     19.63 ± 0.04 |     19.51 ± 9.57 |  39.67 ± 0.94 |     19.83 ± 9.55 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1344.86 ± 10.19 |  753.08 ± 115.19 |               |                  |    2780.62 ± 383.76 |    2778.18 ± 383.76 |    2780.62 ± 383.76 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     58.27 ± 0.46 |     32.37 ± 3.33 |  65.67 ± 1.89 |     32.83 ± 3.24 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |   3025.09 ± 1.65 | 1208.26 ± 663.44 |               |                  | 34536.19 ± 14570.79 | 34533.75 ± 14570.79 | 34536.19 ± 14570.79 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     13.36 ± 0.20 |      8.47 ± 7.31 |  44.67 ± 1.25 |      9.00 ± 7.30 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1874.08 ± 13.49 |  476.42 ± 172.44 |               |                  |   4695.58 ± 1116.38 |   4693.13 ± 1116.38 |   4695.58 ± 1116.38 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    79.01 ± 12.66 |     22.15 ± 3.78 | 113.33 ± 9.39 |     22.67 ± 3.96 |                     |                     |                     |
