| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c2) |     53.63 ± 4.69 |     28.81 ± 3.49 |   58.67 ± 5.31 |     29.33 ± 3.54 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) | 1630.59 ± 450.35 |  820.05 ± 224.31 |                |                  |    2754.99 ± 933.80 |    2752.79 ± 933.80 |    2754.99 ± 933.80 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     57.72 ± 9.11 |     30.61 ± 4.99 |   62.67 ± 8.99 |     31.33 ± 5.09 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  1464.30 ± 25.34 |   318.80 ± 43.88 |                |                  |    6535.43 ± 751.69 |    6533.23 ± 751.69 |    6535.43 ± 751.69 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     57.72 ± 1.20 |     14.12 ± 1.30 |   73.33 ± 2.05 |     14.67 ± 1.30 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) | 1023.68 ± 167.08 |   260.50 ± 80.11 |                |                  |   8554.94 ± 2313.28 |   8552.73 ± 2313.28 |   8554.94 ± 2313.28 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    52.27 ± 14.04 |     15.85 ± 5.31 |  81.67 ± 21.45 |     16.33 ± 5.51 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2434.00 ± 618.31 | 2434.00 ± 618.31 |                |                  |    1829.60 ± 565.85 |    1827.40 ± 565.85 |    1829.60 ± 565.85 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     34.64 ± 3.53 |     34.64 ± 3.53 |   35.00 ± 3.56 |     35.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  824.34 ± 225.57 |  824.34 ± 225.57 |                |                  |    2740.82 ± 929.04 |    2738.61 ± 929.04 |    2740.82 ± 929.04 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     33.26 ± 4.49 |     33.26 ± 4.49 |   33.67 ± 4.71 |     33.67 ± 4.71 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) | 2480.75 ± 635.80 | 1242.76 ± 318.67 |                |                  |   3587.52 ± 1123.05 |   3585.32 ± 1123.05 |   3587.52 ± 1123.05 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     54.75 ± 8.13 |     29.23 ± 5.16 |   59.33 ± 9.46 |     29.67 ± 5.19 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   1431.75 ± 4.31 |   726.78 ± 21.67 |                |                  |     2822.51 ± 79.93 |     2820.31 ± 79.93 |     2822.51 ± 79.93 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    57.93 ± 10.95 |     30.43 ± 6.14 |  62.00 ± 11.34 |     31.00 ± 5.86 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   3032.42 ± 8.41 |  737.94 ± 171.49 |                |                  |   5813.65 ± 1120.30 |   5811.45 ± 1120.30 |   5813.65 ± 1120.30 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     64.55 ± 9.01 |     17.74 ± 3.77 |  91.33 ± 13.67 |     18.27 ± 3.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) | 1759.68 ± 424.95 |  410.55 ± 167.04 |                |                  |   5780.28 ± 2118.40 |   5778.08 ± 2118.40 |   5780.28 ± 2118.40 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     80.82 ± 3.27 |     21.76 ± 2.80 |  111.00 ± 2.94 |     22.20 ± 2.86 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2785.88 ± 263.04 | 2785.88 ± 263.04 |                |                  |    2971.83 ± 300.42 |    2969.63 ± 300.42 |    2971.83 ± 300.42 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     32.23 ± 2.14 |     32.23 ± 2.14 |   32.67 ± 2.49 |     32.67 ± 2.49 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   909.95 ± 81.34 |   909.95 ± 81.34 |                |                  |    2272.25 ± 216.61 |    2270.04 ± 216.61 |    2272.25 ± 216.61 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     34.37 ± 3.19 |     34.37 ± 3.19 |   34.67 ± 3.30 |     34.67 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) | 2874.98 ± 174.47 |  1467.81 ± 87.25 |                |                  |    5605.47 ± 348.56 |    5603.27 ± 348.56 |    5605.47 ± 348.56 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     48.81 ± 2.31 |     26.20 ± 2.39 |   53.00 ± 3.56 |     26.50 ± 2.36 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) | 1188.49 ± 322.41 |  643.92 ± 208.60 |                |                  |   3589.14 ± 1298.36 |   3586.94 ± 1298.36 |   3589.14 ± 1298.36 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     53.84 ± 6.32 |     29.70 ± 4.59 |   60.00 ± 8.29 |     30.00 ± 4.76 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) | 2489.63 ± 400.99 |  773.27 ± 362.73 |                |                  |  12602.68 ± 4595.03 |  12600.47 ± 4595.03 |  12602.68 ± 4595.03 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     37.20 ± 5.64 |     14.10 ± 6.22 |  73.00 ± 12.83 |     14.60 ± 6.29 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1999.18 ± 23.07 |  486.36 ± 187.79 |                |                  |   4597.38 ± 1004.54 |   4595.18 ± 1004.54 |   4597.38 ± 1004.54 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    76.64 ± 14.36 |     20.71 ± 4.19 | 106.33 ± 15.17 |     21.33 ± 4.25 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2638.53 ± 527.48 | 2638.53 ± 527.48 |                |                  |   6515.54 ± 1516.54 |   6513.34 ± 1516.54 |   6515.54 ± 1516.54 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     32.26 ± 2.74 |     32.26 ± 2.74 |   33.00 ± 2.83 |     33.00 ± 2.83 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |  806.25 ± 212.43 |  806.25 ± 212.43 |                |                  |    2779.26 ± 899.19 |    2777.06 ± 899.19 |    2779.26 ± 899.19 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     32.98 ± 4.87 |     32.98 ± 4.87 |   33.67 ± 4.78 |     33.67 ± 4.78 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2621.90 ± 569.30 | 1565.64 ± 401.29 |                |                  |  11302.05 ± 3384.71 |  11299.85 ± 3384.71 |  11302.05 ± 3384.71 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     30.30 ± 8.06 |     21.89 ± 7.87 |   44.67 ± 6.85 |     22.33 ± 7.87 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   1406.60 ± 1.30 |  833.02 ± 129.19 |                |                  |    2521.31 ± 390.69 |    2519.11 ± 390.69 |    2521.31 ± 390.69 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     49.66 ± 0.81 |     28.01 ± 1.53 |   57.33 ± 1.70 |     28.83 ± 1.57 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) | 2644.12 ± 238.27 |  858.90 ± 402.11 |                |                  |  22286.46 ± 7554.07 |  22284.25 ± 7554.07 |  22286.46 ± 7554.07 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.25 ± 3.02 |     10.44 ± 5.62 |   54.67 ± 7.59 |     10.93 ± 5.50 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) | 1710.47 ± 360.02 |  409.82 ± 160.19 |                |                  |   5576.44 ± 1692.02 |   5574.24 ± 1692.02 |   5576.44 ± 1692.02 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    68.84 ± 14.52 |     19.62 ± 4.20 | 101.00 ± 13.88 |     20.27 ± 4.23 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) | 2860.57 ± 198.04 | 2860.57 ± 198.04 |                |                  |   11516.08 ± 838.06 |   11513.88 ± 838.06 |   11516.08 ± 838.06 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     29.76 ± 3.51 |     29.76 ± 3.51 |   30.00 ± 3.56 |     30.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  771.36 ± 202.58 |  771.36 ± 202.58 |                |                  |    2902.98 ± 935.56 |    2900.78 ± 935.56 |    2902.98 ± 935.56 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     36.50 ± 4.65 |     36.50 ± 4.65 |   37.00 ± 4.55 |     37.00 ± 4.55 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) | 2908.30 ± 147.02 | 1880.41 ± 447.63 |                |                  |  18448.12 ± 4311.67 |  18445.91 ± 4311.67 |  18448.12 ± 4311.67 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     19.53 ± 0.39 |     19.54 ± 9.63 |   40.33 ± 1.25 |     20.17 ± 9.58 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) | 1154.30 ± 279.00 |  657.58 ± 219.25 |                |                  |   3552.33 ± 1338.65 |   3550.13 ± 1338.65 |   3552.33 ± 1338.65 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     48.56 ± 3.19 |     28.38 ± 5.21 |   58.00 ± 6.16 |     29.00 ± 5.07 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) | 2569.90 ± 389.18 |  942.89 ± 519.96 |                |                  | 43537.47 ± 18246.38 | 43535.26 ± 18246.38 | 43537.47 ± 18246.38 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     11.68 ± 0.94 |      8.08 ± 7.30 |   43.00 ± 2.16 |      8.60 ± 7.28 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1870.63 ± 14.52 |  466.30 ± 178.58 |                |                  |   4813.91 ± 1115.81 |   4811.71 ± 1115.81 |   4813.91 ± 1115.81 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    76.88 ± 10.27 |     21.83 ± 3.42 |  111.67 ± 3.86 |     22.33 ± 3.44 |                     |                     |                     |
