| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     69.63 ± 0.61 |     19.56 ± 3.64 |   99.67 ± 4.78 |     19.93 ± 3.57 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) | 2822.00 ± 238.51 | 2822.00 ± 238.51 |                |                  |  11704.05 ± 1051.90 |  11701.12 ± 1051.90 |  11704.05 ± 1051.90 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     32.80 ± 1.63 |     32.80 ± 1.63 |   33.33 ± 1.70 |     33.33 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  771.18 ± 194.32 |  771.18 ± 194.32 |                |                  |    2880.90 ± 882.35 |    2877.98 ± 882.35 |    2880.90 ± 882.35 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     37.26 ± 1.58 |     37.26 ± 1.58 |   38.00 ± 1.63 |     38.00 ± 1.63 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2849.04 ± 12.09 | 1925.80 ± 501.09 |                |                  |  18255.06 ± 4749.65 |  18252.14 ± 4749.65 |  18255.06 ± 4749.65 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     15.07 ± 3.44 |    17.43 ± 11.48 |   36.00 ± 3.74 |    18.00 ± 11.59 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1305.47 ± 20.06 |   699.79 ± 95.91 |                |                  |    2974.53 ± 328.68 |    2971.61 ± 328.68 |    2974.53 ± 328.68 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     53.55 ± 6.69 |     28.87 ± 2.25 |   58.67 ± 3.86 |     29.33 ± 2.13 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2766.47 ± 19.49 | 1102.21 ± 608.67 |                |                  | 37786.93 ± 15830.72 | 37784.01 ± 15830.72 | 37786.93 ± 15830.72 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     11.81 ± 1.11 |      7.45 ± 6.35 |   40.00 ± 2.16 |      8.07 ± 6.46 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1861.39 ± 46.06 |  437.15 ± 133.05 |                |                  |    4951.11 ± 895.18 |    4948.18 ± 895.18 |    4951.11 ± 895.18 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    83.83 ± 15.43 |     21.33 ± 3.77 | 109.00 ± 14.31 |     21.80 ± 3.75 |                     |                     |                     |
