| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  868.71 ± 141.46 |  868.71 ± 141.46 |                |                  |    2432.07 ± 447.25 |    2430.34 ± 447.25 |    2432.07 ± 447.25 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     36.70 ± 1.24 |     36.70 ± 1.24 |   37.33 ± 1.25 |     37.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) | 2699.11 ± 425.72 | 1375.81 ± 214.13 |                |                  |   6124.58 ± 1071.28 |   6122.85 ± 1071.28 |   6124.58 ± 1071.28 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     58.00 ± 1.34 |     30.07 ± 1.22 |   61.33 ± 0.94 |     30.67 ± 1.11 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1426.94 ± 10.75 |  801.12 ± 125.39 |                |                  |    2615.86 ± 368.68 |    2614.13 ± 368.68 |    2615.86 ± 368.68 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     54.03 ± 2.40 |     28.95 ± 2.21 |   59.00 ± 2.16 |     29.50 ± 2.22 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) | 2871.95 ± 239.62 |  901.92 ± 366.64 |                |                  |  10483.82 ± 3605.60 |  10482.09 ± 3605.60 |  10483.82 ± 3605.60 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     41.51 ± 3.91 |     15.24 ± 6.17 |   77.67 ± 8.81 |     15.53 ± 6.09 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1826.80 ± 292.33 |  441.73 ± 153.45 |                |                  |   5026.50 ± 1247.27 |   5024.77 ± 1247.27 |   5026.50 ± 1247.27 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    85.21 ± 19.31 |     22.99 ± 4.64 | 117.00 ± 17.66 |     23.40 ± 4.67 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2893.65 ± 151.32 | 2893.65 ± 151.32 |                |                  |    5680.47 ± 308.17 |    5678.74 ± 308.17 |    5680.47 ± 308.17 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     35.87 ± 1.02 |     35.87 ± 1.02 |   36.33 ± 1.25 |     36.33 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |  855.99 ± 137.83 |  855.99 ± 137.83 |                |                  |    2466.38 ± 447.83 |    2464.65 ± 447.83 |    2466.38 ± 447.83 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     33.16 ± 3.89 |     33.16 ± 3.89 |   33.67 ± 4.11 |     33.67 ± 4.11 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2757.69 ± 227.43 | 1656.54 ± 295.62 |                |                  |  10228.81 ± 1895.90 |  10227.08 ± 1895.90 |  10228.81 ± 1895.90 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     33.32 ± 3.33 |     23.84 ± 6.76 |   48.33 ± 1.70 |     24.17 ± 6.96 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 1157.42 ± 173.30 |  666.56 ± 166.10 |                |                  |    3254.38 ± 732.32 |    3252.65 ± 732.32 |    3254.38 ± 732.32 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     52.90 ± 8.94 |     28.65 ± 4.02 |   58.00 ± 6.16 |     29.00 ± 3.83 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) | 2801.42 ± 168.58 |  991.47 ± 497.01 |                |                  |  20079.93 ± 7597.45 |  20078.20 ± 7597.45 |  20079.93 ± 7597.45 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.49 ± 1.02 |     11.13 ± 6.33 |   58.00 ± 3.56 |     11.60 ± 6.31 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1881.70 ± 72.87 |  517.45 ± 216.29 |                |                  |   4495.44 ± 1309.60 |   4493.71 ± 1309.60 |   4495.44 ± 1309.60 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     70.68 ± 8.82 |     19.87 ± 4.17 | 102.00 ± 12.19 |     20.40 ± 4.11 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) | 2718.82 ± 337.45 | 2718.82 ± 337.45 |                |                  |  12261.37 ± 1665.02 |  12259.64 ± 1665.02 |  12261.37 ± 1665.02 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     34.89 ± 1.95 |     34.89 ± 1.95 |   35.33 ± 1.70 |     35.33 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  810.83 ± 115.00 |  810.83 ± 115.00 |                |                  |    2585.28 ± 407.13 |    2583.55 ± 407.13 |    2585.28 ± 407.13 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     33.36 ± 3.76 |     33.36 ± 3.76 |   34.00 ± 3.56 |     34.00 ± 3.56 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) | 2790.22 ± 106.75 | 1779.59 ± 396.96 |                |                  |  19361.08 ± 4257.08 |  19359.35 ± 4257.08 |  19361.08 ± 4257.08 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     19.59 ± 0.27 |     19.65 ± 9.97 |   40.00 ± 2.16 |    20.00 ± 10.12 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) | 1179.28 ± 154.60 |   590.62 ± 77.52 |                |                  |    3535.62 ± 505.97 |    3533.89 ± 505.97 |    3535.62 ± 505.97 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     62.27 ± 3.07 |     32.21 ± 1.95 |   65.67 ± 2.62 |     32.83 ± 2.03 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2692.83 ± 43.00 | 1046.52 ± 543.70 |                |                  | 39171.86 ± 16241.39 | 39170.13 ± 16241.39 | 39171.86 ± 16241.39 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.34 ± 0.31 |      8.78 ± 7.98 |   46.67 ± 0.94 |      9.33 ± 8.05 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) | 1769.38 ± 135.57 |  491.83 ± 214.53 |                |                  |   4796.93 ± 1490.97 |   4795.20 ± 1490.97 |   4796.93 ± 1490.97 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |     66.94 ± 5.58 |     19.66 ± 3.52 |  101.00 ± 5.10 |     20.27 ± 3.49 |                     |                     |                     |
