| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     33.45 ± 1.45 |     33.45 ± 1.45 |  33.67 ± 1.25 |     33.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    967.68 ± 1.72 |    967.68 ± 1.72 |               |                  |      2120.11 ± 3.75 |      2116.41 ± 3.75 |      2120.11 ± 3.75 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     39.26 ± 1.81 |     39.26 ± 1.81 |  39.67 ± 1.70 |     39.67 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   3007.19 ± 3.73 |  1530.62 ± 25.98 |               |                  |     5358.74 ± 90.98 |     5355.04 ± 90.98 |     5358.74 ± 90.98 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     56.98 ± 1.08 |     31.00 ± 2.99 |  62.67 ± 3.09 |     31.33 ± 3.20 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   1413.38 ± 1.46 |    708.55 ± 1.07 |               |                  |      2894.13 ± 4.37 |      2890.43 ± 4.37 |      2894.13 ± 4.37 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     57.46 ± 6.28 |     30.60 ± 4.29 |  62.00 ± 7.87 |     31.00 ± 4.36 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |   3055.12 ± 3.02 |  922.53 ± 353.51 |               |                  |  10041.93 ± 3120.02 |  10038.23 ± 3120.02 |  10041.93 ± 3120.02 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     41.56 ± 2.38 |     14.76 ± 5.27 |  76.33 ± 3.68 |     15.33 ± 5.16 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1839.93 ± 167.55 |   408.93 ± 82.42 |               |                  |    5183.63 ± 878.47 |    5179.93 ± 878.47 |    5183.63 ± 878.47 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     87.63 ± 6.27 |     21.64 ± 2.36 | 111.00 ± 3.56 |     22.20 ± 2.34 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) | 2816.55 ± 277.17 | 2816.55 ± 277.17 |               |                  |    5882.63 ± 621.79 |    5878.93 ± 621.79 |    5882.63 ± 621.79 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     33.32 ± 4.20 |     33.32 ± 4.20 |  34.00 ± 4.32 |     34.00 ± 4.32 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |   937.04 ± 24.70 |   937.04 ± 24.70 |               |                  |     2190.84 ± 58.74 |     2187.15 ± 58.74 |     2190.84 ± 58.74 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     37.36 ± 2.77 |     37.36 ± 2.77 |  38.00 ± 2.83 |     38.00 ± 2.83 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2946.97 ± 114.79 | 1730.13 ± 269.22 |               |                  |   9707.07 ± 1498.21 |   9703.37 ± 1498.21 |   9707.07 ± 1498.21 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     35.07 ± 1.21 |     23.62 ± 5.88 |  48.00 ± 2.45 |     24.00 ± 5.86 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 1257.98 ± 199.44 |  672.70 ± 158.52 |               |                  |    3218.58 ± 742.29 |    3214.89 ± 742.29 |    3218.58 ± 742.29 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     63.49 ± 8.22 |     34.08 ± 4.15 |  68.67 ± 6.85 |     34.33 ± 4.23 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2989.34 ± 55.63 | 1077.11 ± 532.79 |               |                  |  18516.37 ± 7078.75 |  18512.67 ± 7078.75 |  18516.37 ± 7078.75 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     23.60 ± 0.69 |     10.79 ± 6.12 |  56.67 ± 5.44 |     11.40 ± 6.15 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |   1990.04 ± 0.83 |   419.46 ± 39.84 |               |                  |    4925.07 ± 409.22 |    4921.37 ± 409.22 |    4925.07 ± 409.22 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     92.68 ± 5.28 |     22.83 ± 1.91 | 116.00 ± 6.16 |     23.20 ± 1.90 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) | 2890.01 ± 153.54 | 2890.01 ± 153.54 |               |                  |   11376.11 ± 627.71 |   11372.41 ± 627.71 |   11376.11 ± 627.71 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     31.27 ± 0.47 |     31.27 ± 0.47 |  31.33 ± 0.47 |     31.33 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |   867.93 ± 65.29 |   867.93 ± 65.29 |               |                  |    2377.54 ± 188.61 |    2373.84 ± 188.61 |    2377.54 ± 188.61 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     38.51 ± 1.94 |     38.51 ± 1.94 |  39.00 ± 1.63 |     39.00 ± 1.63 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2937.74 ± 65.79 | 1952.02 ± 483.42 |               |                  |  17891.16 ± 4443.33 |  17887.46 ± 4443.33 |  17891.16 ± 4443.33 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     17.76 ± 2.06 |    19.32 ± 10.01 |  39.67 ± 3.09 |    19.83 ± 10.07 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |   1323.52 ± 5.88 |    663.43 ± 2.96 |               |                  |     3090.73 ± 13.77 |     3087.03 ± 13.77 |     3090.73 ± 13.77 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     62.65 ± 1.71 |     32.88 ± 1.68 |  67.00 ± 0.82 |     33.50 ± 1.71 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2909.95 ± 17.90 | 1180.66 ± 671.19 |               |                  | 35708.81 ± 15179.38 | 35705.11 ± 15179.38 | 35708.81 ± 15179.38 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     11.47 ± 1.28 |      8.00 ± 8.04 |  42.00 ± 2.16 |      8.40 ± 8.06 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1876.93 ± 16.57 |  468.91 ± 174.12 |               |                  |   4764.69 ± 1078.53 |   4760.99 ± 1078.53 |   4764.69 ± 1078.53 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    78.00 ± 10.83 |     21.23 ± 3.13 | 109.33 ± 4.99 |     21.87 ± 3.10 |                     |                     |                     |
