| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |          pp2048 (c10) |  3231.47 ± 41.66 |  659.92 ± 343.09 |                |                  |   4067.38 ± 1811.46 |   4065.37 ± 1811.46 |   4067.38 ± 1811.46 |          0.422 |            0 |
| qwen3.8-flash-next |           tg512 (c10) |    200.79 ± 5.57 |     23.10 ± 2.04 |  329.67 ± 9.39 |     39.57 ± 3.64 |                     |                     |                     |          0.422 |            0 |
| qwen3.8-flash-next |          pp2048 (c16) |   3235.29 ± 2.50 |  546.30 ± 565.69 |                |                  |   6071.14 ± 3002.90 |   6069.13 ± 3002.90 |   6071.14 ± 3002.90 |          0.432 |            0 |
| qwen3.8-flash-next |           tg512 (c16) |    237.92 ± 2.24 |     18.67 ± 2.10 | 436.00 ± 18.99 |     35.35 ± 3.15 |                     |                     |                     |          0.432 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3045.78 ± 2.01 |   3045.78 ± 2.01 |                |                  |      5385.86 ± 3.55 |      5383.85 ± 3.55 |      5388.47 ± 3.54 |          0.402 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     53.63 ± 2.51 |     53.63 ± 2.51 |   72.33 ± 6.13 |     72.33 ± 6.13 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    781.69 ± 7.41 |    781.69 ± 7.41 |                |                  |     2622.20 ± 24.83 |     2620.19 ± 24.83 |     2623.60 ± 24.77 |          0.402 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     53.93 ± 1.18 |     53.93 ± 1.18 |   72.33 ± 2.62 |     72.33 ± 2.62 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3042.27 ± 3.14 | 1814.19 ± 292.46 |                |                  |   9281.86 ± 1496.07 |   9279.85 ± 1496.07 |   9283.98 ± 1495.65 |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     70.41 ± 1.02 |     40.21 ± 5.31 |  107.33 ± 2.05 |     61.50 ± 5.44 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    806.63 ± 3.65 |   502.01 ± 98.45 |                |                  |    4244.76 ± 831.98 |    4242.75 ± 831.98 |    4246.25 ± 831.67 |          0.403 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     80.23 ± 0.49 |     44.79 ± 3.13 |  112.67 ± 0.47 |     65.17 ± 5.81 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3078.67 ± 8.69 |  976.39 ± 183.84 |                |                  |  17384.91 ± 3152.71 |  17382.90 ± 3152.71 |  17387.45 ± 3152.65 |          0.385 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     86.77 ± 4.51 |     27.37 ± 4.83 |  160.67 ± 1.70 |     47.75 ± 3.68 |                     |                     |                     |          0.385 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    838.54 ± 1.61 |  296.03 ± 110.35 |                |                  |   7706.54 ± 2140.69 |   7704.52 ± 2140.69 |   7708.78 ± 2140.40 |          0.385 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    100.81 ± 1.80 |     32.53 ± 3.42 |  177.33 ± 4.19 |     52.08 ± 3.95 |                     |                     |                     |          0.385 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3076.42 ± 6.39 |  802.71 ± 191.95 |                |                  |  21562.07 ± 4741.02 |  21560.06 ± 4741.02 |  21564.44 ± 4741.16 |          0.402 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     83.34 ± 7.64 |     24.62 ± 8.36 | 177.33 ± 19.91 |    46.87 ± 11.96 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    850.10 ± 1.39 |  254.55 ± 117.70 |                |                  |   9323.47 ± 2857.72 |   9321.46 ± 2857.72 |   9325.66 ± 2857.90 |          0.402 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    107.93 ± 0.72 |     29.26 ± 4.41 | 212.00 ± 14.17 |     48.20 ± 2.74 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3065.95 ± 2.55 |  632.34 ± 277.96 |                |                  | 30273.94 ± 10227.23 | 30271.93 ± 10227.23 | 30276.12 ± 10227.35 |          0.399 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     79.69 ± 5.33 |     17.90 ± 6.64 |  247.00 ± 8.83 |     42.96 ± 8.06 |                     |                     |                     |          0.399 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |    847.94 ± 1.62 |  197.36 ± 116.72 |                |                  |  13074.09 ± 5086.15 |  13072.08 ± 5086.15 |  13075.87 ± 5086.22 |          0.399 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    119.58 ± 2.23 |     21.98 ± 4.54 |  274.00 ± 0.82 |     41.12 ± 2.68 |                     |                     |                     |          0.399 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |   3055.25 ± 1.49 |  585.10 ± 281.07 |                |                  | 34083.29 ± 13577.50 | 34081.28 ± 13577.50 | 34085.19 ± 13578.13 |          0.414 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     75.73 ± 6.90 |     14.12 ± 6.36 | 269.67 ± 13.60 |     39.60 ± 6.04 |                     |                     |                     |          0.414 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    846.84 ± 1.51 |  176.12 ± 114.07 |                |                  |  15311.32 ± 6616.16 |  15309.31 ± 6616.16 |  15313.66 ± 6616.26 |          0.414 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    125.81 ± 0.32 |     18.91 ± 4.44 | 308.00 ± 12.36 |     38.87 ± 3.21 |                     |                     |                     |          0.414 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |  3082.63 ± 63.35 |  455.42 ± 282.99 |                |                  | 48733.25 ± 23288.16 | 48731.24 ± 23288.16 | 48735.85 ± 23288.28 |          0.405 |        0.335 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     75.74 ± 5.25 |      9.71 ± 5.20 |  362.00 ± 5.35 |     35.77 ± 6.93 |                     |                     |                     |          0.405 |        0.335 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |   851.13 ± 12.05 |  134.06 ± 105.27 |                |                  | 22145.24 ± 10901.11 | 22143.23 ± 10901.11 | 22147.57 ± 10901.31 |          0.405 |        0.335 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    139.66 ± 1.21 |     14.12 ± 4.09 |  399.33 ± 5.44 |     34.06 ± 3.29 |                     |                     |                     |          0.405 |        0.335 |
