| model              |                  test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) | 3079.58 ± 34.25 |  803.96 ± 192.91 |                |                  |  21536.66 ± 4751.04 |  21534.10 ± 4751.04 |  21539.13 ± 4751.23 |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |    88.33 ± 2.84 |     25.20 ± 6.57 |  194.00 ± 0.82 |     45.80 ± 6.32 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |   853.25 ± 2.41 |  257.02 ± 108.98 |                |                  |   9120.52 ± 2805.56 |   9117.96 ± 2805.56 |   9122.76 ± 2805.66 |          0.403 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |   113.38 ± 3.28 |     29.77 ± 4.46 |  209.33 ± 4.50 |     47.53 ± 3.77 |                     |                     |                     |          0.403 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |  3095.52 ± 6.10 |  630.95 ± 283.11 |                |                  | 30405.82 ± 10162.12 | 30403.26 ± 10162.12 | 30408.46 ± 10162.53 |          0.401 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |    76.47 ± 2.10 |     18.05 ± 5.65 |  233.67 ± 6.13 |     42.25 ± 4.31 |                     |                     |                     |          0.401 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |   855.99 ± 0.22 |  199.48 ± 118.48 |                |                  |  12950.94 ± 5042.63 |  12948.38 ± 5042.63 |  12952.44 ± 5042.95 |          0.401 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |   120.92 ± 0.96 |     22.18 ± 4.55 |  268.67 ± 9.46 |     42.67 ± 5.53 |                     |                     |                     |          0.401 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |  3077.34 ± 2.25 |  589.46 ± 283.39 |                |                  | 33838.69 ± 13482.96 | 33836.13 ± 13482.96 | 33841.25 ± 13482.81 |          0.405 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |    73.85 ± 3.87 |     13.82 ± 5.39 | 267.00 ± 19.95 |     37.47 ± 8.47 |                     |                     |                     |          0.405 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |   853.74 ± 0.65 |  177.92 ± 115.63 |                |                  |  15176.59 ± 6567.89 |  15174.03 ± 6567.89 |  15178.42 ± 6567.98 |          0.405 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |   126.12 ± 2.13 |     19.08 ± 4.45 | 301.33 ± 13.89 |     38.47 ± 3.96 |                     |                     |                     |          0.405 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |  3057.33 ± 0.58 |  451.38 ± 285.57 |                |                  | 49351.92 ± 23434.05 | 49349.36 ± 23434.05 | 49353.41 ± 23434.92 |          0.404 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |    77.10 ± 3.64 |     10.02 ± 5.22 |  365.67 ± 8.26 |     34.88 ± 5.02 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |   846.78 ± 0.87 |  133.95 ± 105.86 |                |                  | 22244.15 ± 10956.76 | 22241.59 ± 10956.76 | 22246.26 ± 10956.76 |          0.404 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |   139.17 ± 1.16 |     14.17 ± 4.10 | 405.67 ± 13.89 |     34.10 ± 3.57 |                     |                     |                     |          0.404 |        0.329 |
