| model              |                 test |      t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2955.11 ± 2.77 |   2955.11 ± 2.77 |               |                  |      2775.55 ± 2.54 |      2772.94 ± 2.54 |      2775.55 ± 2.54 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     37.12 ± 5.09 |     37.12 ± 5.09 |  37.67 ± 5.19 |     37.67 ± 5.19 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    964.53 ± 2.91 |    964.53 ± 2.91 |               |                  |      2125.95 ± 6.43 |      2123.34 ± 6.43 |      2125.95 ± 6.43 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     39.98 ± 2.22 |     39.98 ± 2.22 |  40.33 ± 2.36 |     40.33 ± 2.36 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |   3007.33 ± 3.09 |  1528.98 ± 24.58 |               |                  |     5363.12 ± 86.18 |     5360.51 ± 86.18 |     5363.12 ± 86.18 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     53.00 ± 2.58 |     28.26 ± 2.21 |  57.67 ± 2.05 |     28.83 ± 2.03 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1416.21 ± 10.19 |   752.39 ± 99.09 |               |                  |    2763.39 ± 294.51 |    2760.78 ± 294.51 |    2763.39 ± 294.51 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     54.01 ± 6.05 |     28.98 ± 1.78 |  59.00 ± 3.27 |     29.50 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  3012.92 ± 27.73 |  912.65 ± 350.25 |               |                  |  10154.68 ± 3162.46 |  10152.07 ± 3162.46 |  10154.68 ± 3162.46 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     41.19 ± 1.58 |     14.61 ± 4.48 |  75.67 ± 2.36 |     15.13 ± 4.49 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1925.70 ± 22.76 |  523.63 ± 219.26 |               |                  |   4416.38 ± 1215.58 |   4413.77 ± 1215.58 |   4416.38 ± 1215.58 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     69.67 ± 2.98 |     19.98 ± 3.00 | 102.00 ± 2.45 |     20.40 ± 3.07 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |   3003.82 ± 7.75 |   3003.82 ± 7.75 |               |                  |     5457.70 ± 14.09 |     5455.09 ± 14.09 |     5457.70 ± 14.09 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     35.93 ± 3.74 |     35.93 ± 3.74 |  36.33 ± 3.86 |     36.33 ± 3.86 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    946.31 ± 2.62 |    946.31 ± 2.62 |               |                  |      2166.83 ± 5.98 |      2164.22 ± 5.98 |      2166.83 ± 5.98 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     36.74 ± 1.54 |     36.74 ± 1.54 |  37.00 ± 1.63 |     37.00 ± 1.63 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |   3024.56 ± 1.59 | 1782.43 ± 269.72 |               |                  |   9411.16 ± 1423.87 |   9408.55 ± 1423.87 |   9411.16 ± 1423.87 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     32.98 ± 1.75 |     23.88 ± 6.44 |  48.67 ± 3.86 |     24.33 ± 6.34 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   1382.39 ± 4.32 |    692.98 ± 2.36 |               |                  |     2957.98 ± 10.06 |     2955.37 ± 10.06 |     2957.98 ± 10.06 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     59.70 ± 0.72 |     31.25 ± 1.70 |  63.67 ± 1.89 |     31.83 ± 1.95 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   3040.83 ± 0.84 | 1092.18 ± 527.50 |               |                  |  18152.23 ± 6899.99 |  18149.62 ± 6899.99 |  18152.23 ± 6899.99 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     24.84 ± 0.04 |     10.96 ± 5.66 |  57.67 ± 0.47 |     11.53 ± 5.56 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  1939.48 ± 27.66 |  457.47 ± 137.65 |               |                  |    4727.56 ± 852.53 |    4724.95 ± 852.53 |    4727.56 ± 852.53 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     81.08 ± 9.10 |     20.63 ± 2.77 | 106.00 ± 6.38 |     21.20 ± 2.86 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  3062.34 ± 90.72 |  3062.34 ± 90.72 |               |                  |   10712.78 ± 310.80 |   10710.17 ± 310.80 |   10712.78 ± 310.80 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     27.62 ± 5.55 |     27.62 ± 5.55 |  28.00 ± 5.66 |     28.00 ± 5.66 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |   942.28 ± 55.66 |   942.28 ± 55.66 |               |                  |    2183.37 ± 123.67 |    2180.76 ± 123.67 |    2183.37 ± 123.67 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     30.31 ± 7.76 |     30.31 ± 7.76 |  30.67 ± 7.72 |     30.67 ± 7.72 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   3010.57 ± 0.98 | 1968.89 ± 463.44 |               |                  |  17622.65 ± 4147.23 |  17620.04 ± 4147.23 |  17622.65 ± 4147.23 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     19.69 ± 0.47 |    20.36 ± 11.13 |  42.00 ± 5.72 |    21.00 ± 11.30 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1332.25 ± 15.90 |  745.63 ± 114.99 |               |                  |    2809.56 ± 391.00 |    2806.95 ± 391.00 |    2809.56 ± 391.00 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     54.60 ± 3.36 |     31.09 ± 3.76 |  63.00 ± 4.08 |     31.50 ± 3.73 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |   3025.27 ± 0.93 | 1208.99 ± 663.47 |               |                  | 34513.39 ± 14566.71 | 34510.78 ± 14566.71 | 34513.39 ± 14566.71 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     12.64 ± 0.71 |      8.27 ± 7.45 |  44.00 ± 1.63 |      8.87 ± 7.53 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1850.36 ± 21.30 |  431.14 ± 124.69 |               |                  |    5000.46 ± 882.50 |    4997.85 ± 882.50 |    5000.46 ± 882.50 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |     81.40 ± 9.47 |     20.76 ± 2.75 | 106.33 ± 4.50 |     21.27 ± 2.82 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d65536 (c1) |   2945.19 ± 2.12 |   2945.19 ± 2.12 |               |                  |    22255.15 ± 15.98 |    22252.54 ± 15.98 |    22255.15 ± 15.98 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c1) |     38.14 ± 1.83 |     38.14 ± 1.83 |  38.67 ± 1.70 |     38.67 ± 1.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d65536 (c1) |   852.89 ± 51.31 |   852.89 ± 51.31 |               |                  |    2412.22 ± 139.08 |    2409.61 ± 139.08 |    2412.22 ± 139.08 |
| qwen3.8-flash-next |  tg128 @ d65536 (c1) |     31.08 ± 8.39 |     31.08 ± 8.39 |  31.67 ± 8.50 |     31.67 ± 8.50 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d65536 (c2) |   2955.28 ± 1.91 | 2056.08 ± 578.33 |               |                  |  34616.46 ± 9736.15 |  34613.85 ± 9736.15 |  34616.46 ± 9736.15 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c2) |     10.69 ± 0.17 |    18.28 ± 12.95 |  37.67 ± 0.94 |    18.83 ± 12.85 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d65536 (c2) |  1212.59 ± 11.60 |   640.92 ± 78.64 |               |                  |    3238.00 ± 326.05 |    3235.39 ± 326.05 |    3238.00 ± 326.05 |
| qwen3.8-flash-next |  tg128 @ d65536 (c2) |     57.46 ± 2.10 |     32.09 ± 3.85 |  65.33 ± 2.87 |     32.67 ± 3.73 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d65536 (c5) |   2965.86 ± 0.36 | 1259.66 ± 739.77 |               |                  | 68392.95 ± 30436.30 | 68390.34 ± 30436.30 | 68392.95 ± 30436.30 |
| qwen3.8-flash-next | ctx_tg @ d65536 (c5) |      6.44 ± 0.48 |      6.12 ± 7.24 |  32.67 ± 1.70 |      6.53 ± 7.23 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d65536 (c5) |  1700.42 ± 22.24 |  494.11 ± 220.43 |               |                  |   4809.50 ± 1521.93 |   4806.89 ± 1521.93 |   4809.50 ± 1521.93 |
| qwen3.8-flash-next |  tg128 @ d65536 (c5) |     64.97 ± 0.89 |     19.77 ± 4.66 | 101.67 ± 0.47 |     20.33 ± 4.76 |                     |                     |                     |
