| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |            ttfr (ms) |         est_ppt (ms) |        e2e_ttft (ms) |
| qwen3.8-flash-next |   pp2048 @ d4096 (c5) |  1061.68 ± 22.68 |   241.65 ± 53.76 |                |                  |    8768.17 ± 1347.83 |    8766.80 ± 1347.83 |    8768.17 ± 1347.83 |
| qwen3.8-flash-next |    tg128 @ d4096 (c5) |    70.57 ± 10.60 |     20.80 ± 4.16 |  136.67 ± 7.13 |     32.73 ± 4.22 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c10) |  1953.10 ± 38.80 |  609.79 ± 634.67 |                |                  |   10758.78 ± 5355.93 |   10757.41 ± 5355.93 |   10758.78 ± 5355.93 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c10) |     52.83 ± 1.71 |     14.04 ± 6.03 |  157.33 ± 4.92 |     27.80 ± 5.92 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d4096 (c10) |    755.38 ± 4.00 |   156.09 ± 74.38 |                |                  |   15602.40 ± 6150.76 |   15601.03 ± 6150.76 |   15602.40 ± 6150.76 |
| qwen3.8-flash-next |   tg128 @ d4096 (c10) |     49.65 ± 1.98 |     13.24 ± 6.34 |  192.33 ± 8.73 |     29.77 ± 4.01 |                      |                      |                      |
| qwen3.8-flash-next |   ctx_pp @ d8192 (c1) |  2930.47 ± 22.62 |  2930.47 ± 22.62 |                |                  |      2797.68 ± 21.94 |      2796.31 ± 21.94 |      2797.68 ± 21.94 |
| qwen3.8-flash-next |   ctx_tg @ d8192 (c1) |     28.00 ± 1.29 |     28.00 ± 1.29 |   37.33 ± 3.86 |     37.33 ± 3.86 |                      |                      |                      |
| qwen3.8-flash-next |   pp2048 @ d8192 (c1) |    569.85 ± 3.00 |    569.85 ± 3.00 |                |                  |      3595.38 ± 18.95 |      3594.01 ± 18.95 |      3595.38 ± 18.95 |
| qwen3.8-flash-next |    tg128 @ d8192 (c1) |     30.92 ± 0.51 |     30.92 ± 0.51 |   39.33 ± 1.25 |     39.33 ± 1.25 |                      |                      |                      |
| qwen3.8-flash-next |   ctx_pp @ d8192 (c2) |  2908.21 ± 12.71 | 2191.30 ± 737.02 |                |                  |    4217.36 ± 1417.81 |    4215.99 ± 1417.81 |    4217.36 ± 1417.81 |
| qwen3.8-flash-next |   ctx_tg @ d8192 (c2) |     33.98 ± 1.32 |     23.52 ± 5.71 |   70.00 ± 4.32 |     38.17 ± 3.58 |                      |                      |                      |
| qwen3.8-flash-next |   pp2048 @ d8192 (c2) |   559.35 ± 22.87 |   316.80 ± 40.53 |                |                  |     6571.81 ± 830.65 |     6570.44 ± 830.65 |     6571.81 ± 830.65 |
| qwen3.8-flash-next |    tg128 @ d8192 (c2) |     41.83 ± 1.41 |     25.69 ± 4.86 |   73.33 ± 8.58 |     41.83 ± 3.85 |                      |                      |                      |
| qwen3.8-flash-next |   ctx_pp @ d8192 (c5) |   2917.96 ± 5.27 | 1050.67 ± 788.92 |                |                  |   10682.84 ± 4201.18 |   10681.47 ± 4201.18 |   10682.84 ± 4201.18 |
| qwen3.8-flash-next |   ctx_tg @ d8192 (c5) |     37.41 ± 4.40 |     16.38 ± 6.23 |  124.33 ± 4.11 |     29.07 ± 3.59 |                      |                      |                      |
| qwen3.8-flash-next |   pp2048 @ d8192 (c5) |    589.34 ± 7.40 |   171.68 ± 73.66 |                |                  |   13543.92 ± 3900.62 |   13542.55 ± 3900.62 |   13543.92 ± 3900.62 |
| qwen3.8-flash-next |    tg128 @ d8192 (c5) |     39.06 ± 1.77 |     16.60 ± 5.79 |  151.33 ± 6.60 |     35.00 ± 4.91 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c10) |  2397.69 ± 44.41 |  661.43 ± 671.07 |                |                  |   19231.68 ± 8821.11 |   19230.31 ± 8821.11 |   19231.68 ± 8821.11 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c10) |     34.52 ± 2.10 |     11.12 ± 6.68 |  155.33 ± 6.65 |     27.03 ± 4.75 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d8192 (c10) |    500.32 ± 5.52 |   109.02 ± 58.45 |                |                  |   23468.15 ± 9895.61 |   23466.78 ± 9895.61 |   23468.15 ± 9895.61 |
| qwen3.8-flash-next |   tg128 @ d8192 (c10) |     33.66 ± 0.59 |     10.04 ± 6.88 |  169.33 ± 3.30 |     28.13 ± 5.48 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |  2945.87 ± 13.35 |  2945.87 ± 13.35 |                |                  |      5563.84 ± 25.15 |      5562.47 ± 25.15 |      5564.51 ± 24.24 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     29.72 ± 3.04 |     29.72 ± 3.04 |   36.33 ± 2.62 |     36.33 ± 2.62 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |    633.50 ± 1.48 |    633.50 ± 1.48 |                |                  |       3234.22 ± 7.59 |       3232.85 ± 7.59 |       3234.93 ± 8.58 |
| qwen3.8-flash-next |   tg128 @ d16384 (c1) |     34.42 ± 5.37 |     34.42 ± 5.37 |   45.67 ± 4.19 |     45.67 ± 4.19 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   2935.60 ± 4.42 | 1751.12 ± 283.14 |                |                  |    9610.01 ± 1553.56 |    9608.64 ± 1553.56 |    9610.01 ± 1553.56 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     31.35 ± 2.33 |     22.11 ± 6.12 |   67.67 ± 6.94 |     37.17 ± 5.98 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    655.70 ± 5.21 |   348.71 ± 37.76 |                |                  |     5933.20 ± 542.39 |     5931.83 ± 542.39 |     5933.20 ± 542.39 |
| qwen3.8-flash-next |   tg128 @ d16384 (c2) |     52.53 ± 8.02 |     30.45 ± 7.05 |   75.33 ± 3.30 |     42.83 ± 4.22 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   2927.62 ± 0.61 |  992.12 ± 542.96 |                |                  |   20395.77 ± 7479.69 |   20394.40 ± 7479.69 |   20396.11 ± 7479.12 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     23.50 ± 0.57 |     13.29 ± 7.26 |  114.67 ± 3.30 |     28.07 ± 3.96 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    664.23 ± 1.93 |   182.51 ± 73.34 |                |                  |   12502.10 ± 3295.85 |   12500.73 ± 3295.85 |   12502.33 ± 3295.57 |
| qwen3.8-flash-next |   tg128 @ d16384 (c5) |     43.42 ± 3.80 |     17.22 ± 5.30 |  134.67 ± 3.68 |     30.33 ± 3.96 |                      |                      |                      |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |  2614.71 ± 11.10 |  651.35 ± 501.77 |                |                  |  35878.91 ± 16913.97 |  35877.54 ± 16913.97 |  35879.03 ± 16914.03 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     20.93 ± 0.46 |      8.45 ± 8.17 |  154.00 ± 6.98 |     26.70 ± 8.00 |                      |                      |                      |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    532.85 ± 0.85 |   123.67 ± 81.85 |                |                  |   21919.62 ± 9704.86 |   21918.25 ± 9704.86 |   21920.31 ± 9704.76 |
| qwen3.8-flash-next |  tg128 @ d16384 (c10) |     33.79 ± 0.93 |     10.44 ± 6.79 |  182.67 ± 6.80 |     29.07 ± 5.07 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d32768 (c1) |   2920.24 ± 5.26 |   2920.24 ± 5.26 |                |                  |     11223.09 ± 20.04 |     11221.72 ± 20.04 |     11224.75 ± 20.24 |
| qwen3.8-flash-next |  ctx_tg @ d32768 (c1) |     28.21 ± 2.32 |     28.21 ± 2.32 |   38.33 ± 1.89 |     38.33 ± 1.89 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d32768 (c1) |    595.87 ± 2.10 |    595.87 ± 2.10 |                |                  |      3438.43 ± 12.17 |      3437.06 ± 12.17 |      3438.43 ± 12.17 |
| qwen3.8-flash-next |   tg128 @ d32768 (c1) |     32.68 ± 4.25 |     32.68 ± 4.25 |   42.33 ± 2.36 |     42.33 ± 2.36 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d32768 (c2) |   2898.33 ± 0.60 | 1916.21 ± 466.96 |                |                  |   18182.44 ± 4430.49 |   18181.07 ± 4430.49 |   18183.13 ± 4429.80 |
| qwen3.8-flash-next |  ctx_tg @ d32768 (c2) |     16.29 ± 1.64 |     17.36 ± 9.34 |   66.67 ± 4.64 |     35.83 ± 3.34 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d32768 (c2) |    605.19 ± 0.93 |   354.07 ± 51.40 |                |                  |     5910.10 ± 857.81 |     5908.73 ± 857.81 |     5910.89 ± 857.01 |
| qwen3.8-flash-next |   tg128 @ d32768 (c2) |     40.47 ± 2.33 |     25.36 ± 4.82 |   71.33 ± 3.30 |     37.00 ± 4.65 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d32768 (c5) |   2887.15 ± 0.25 | 1124.37 ± 662.52 |                |                  |  37610.34 ± 15487.41 |  37608.97 ± 15487.41 |  37611.46 ± 15487.41 |
| qwen3.8-flash-next |  ctx_tg @ d32768 (c5) |     12.69 ± 0.44 |      8.78 ± 7.03 | 116.33 ± 12.68 |     29.40 ± 3.86 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d32768 (c5) |    627.64 ± 0.73 |   180.36 ± 79.82 |                |                  |   12996.13 ± 3795.03 |   12994.76 ± 3795.03 |   12996.93 ± 3794.96 |
| qwen3.8-flash-next |   tg128 @ d32768 (c5) |     39.27 ± 0.80 |     16.48 ± 5.31 |  131.67 ± 7.41 |     32.00 ± 2.56 |                      |                      |                      |
| qwen3.8-flash-next | ctx_pp @ d32768 (c10) |  2803.57 ± 42.74 |  735.31 ± 607.96 |                |                  |  66519.36 ± 32170.64 |  66517.99 ± 32170.64 |  66520.81 ± 32171.07 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c10) |     10.52 ± 1.08 |      4.88 ± 6.40 |  138.33 ± 4.11 |     22.50 ± 8.00 |                      |                      |                      |
| qwen3.8-flash-next | pp2048 @ d32768 (c10) |    513.57 ± 5.48 |   116.82 ± 74.99 |                |                  |   22860.80 ± 9799.90 |   22859.44 ± 9799.90 |   22862.45 ± 9799.80 |
| qwen3.8-flash-next |  tg128 @ d32768 (c10) |     33.01 ± 0.25 |     10.33 ± 7.06 |  180.33 ± 5.44 |     27.33 ± 4.97 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d65535 (c1) |   2838.82 ± 1.07 |   2838.82 ± 1.07 |                |                  |      23087.52 ± 8.74 |      23086.15 ± 8.74 |      23088.72 ± 9.86 |
| qwen3.8-flash-next |  ctx_tg @ d65535 (c1) |     27.36 ± 0.45 |     27.36 ± 0.45 |   33.33 ± 0.47 |     33.33 ± 0.47 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d65535 (c1) |    525.90 ± 2.62 |    525.90 ± 2.62 |                |                  |      3895.76 ± 19.42 |      3894.39 ± 19.42 |      3897.47 ± 19.28 |
| qwen3.8-flash-next |   tg128 @ d65535 (c1) |     31.39 ± 3.27 |     31.39 ± 3.27 |   47.33 ± 6.24 |     47.33 ± 6.24 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d65535 (c2) |   2814.14 ± 1.15 | 1981.52 ± 574.37 |                |                  |  36109.19 ± 10466.27 |  36107.82 ± 10466.27 |  36110.93 ± 10465.82 |
| qwen3.8-flash-next |  ctx_tg @ d65535 (c2) |      9.41 ± 0.85 |    16.98 ± 12.05 |   72.33 ± 5.44 |     38.83 ± 5.70 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d65535 (c2) |    540.09 ± 0.58 |   318.20 ± 48.11 |                |                  |     6588.02 ± 995.72 |     6586.65 ± 995.72 |     6588.43 ± 995.30 |
| qwen3.8-flash-next |   tg128 @ d65535 (c2) |     37.82 ± 1.89 |     24.26 ± 5.26 |   72.67 ± 1.25 |     39.33 ± 5.96 |                      |                      |                      |
| qwen3.8-flash-next |  ctx_pp @ d65535 (c5) |   2802.52 ± 0.28 | 1183.83 ± 727.29 |                |                  |  73613.02 ± 32490.37 |  73611.65 ± 32490.37 |  73613.43 ± 32489.77 |
| qwen3.8-flash-next |  ctx_tg @ d65535 (c5) |      5.92 ± 0.42 |      6.72 ± 8.19 |  109.33 ± 6.60 |     28.53 ± 8.74 |                      |                      |                      |
| qwen3.8-flash-next |  pp2048 @ d65535 (c5) |    555.18 ± 1.03 |   164.87 ± 71.12 |                |                  |   14144.66 ± 4095.96 |   14143.29 ± 4095.96 |   14144.99 ± 4095.37 |
| qwen3.8-flash-next |   tg128 @ d65535 (c5) |     35.80 ± 0.25 |     14.84 ± 5.42 |  129.67 ± 3.40 |     30.47 ± 4.11 |                      |                      |                      |
| qwen3.8-flash-next | ctx_pp @ d65535 (c10) |   2780.22 ± 6.93 |  766.14 ± 663.06 |                |                  | 132728.57 ± 66748.28 | 132727.20 ± 66748.28 | 132729.32 ± 66747.94 |
| qwen3.8-flash-next | ctx_tg @ d65535 (c10) |      5.51 ± 0.26 |      3.70 ± 6.30 |  117.00 ± 4.32 |     18.67 ± 8.65 |                      |                      |                      |
| qwen3.8-flash-next | pp2048 @ d65535 (c10) |   195.36 ± 23.22 |    56.49 ± 42.00 |                |                  |  52862.31 ± 29406.04 |  52860.95 ± 29406.04 |  52862.66 ± 29405.60 |
| qwen3.8-flash-next |  tg128 @ d65535 (c10) |     13.09 ± 0.98 |      5.63 ± 7.75 |  161.00 ± 8.60 |     27.40 ± 7.01 |                      |                      |                      |
