| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |           tg512 (c16) |    213.34 ± 3.33 |     16.98 ± 2.05 |  410.33 ± 9.67 |     31.98 ± 2.67 |                     |                     |                     |          0.442 |            0 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c1) |   3061.34 ± 4.68 |   3061.34 ± 4.68 |                |                  |      5358.40 ± 8.20 |      5356.50 ± 8.20 |      5361.10 ± 8.13 |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c1) |     49.73 ± 2.63 |     49.73 ± 2.63 |   68.67 ± 3.77 |     68.67 ± 3.77 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c1) |   726.99 ± 89.25 |   726.99 ± 89.25 |                |                  |    2866.26 ± 384.87 |    2864.36 ± 384.87 |    2867.98 ± 384.89 |          0.407 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c1) |     54.35 ± 1.46 |     54.35 ± 1.46 |   74.33 ± 2.05 |     74.33 ± 2.05 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |  3026.81 ± 12.39 | 1609.67 ± 214.81 |                |                  |  10337.66 ± 1114.01 |  10335.76 ± 1114.01 |  10340.22 ± 1113.87 |          0.406 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     64.86 ± 1.53 |     44.80 ± 7.49 |  105.33 ± 6.13 |     62.83 ± 8.41 |                     |                     |                     |          0.406 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |    809.94 ± 1.70 |   503.77 ± 98.64 |                |                  |    4229.31 ± 827.74 |    4227.41 ± 827.74 |    4229.80 ± 827.24 |          0.406 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     69.54 ± 5.04 |     38.55 ± 4.19 |  113.33 ± 5.56 |     59.67 ± 4.71 |                     |                     |                     |          0.406 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) | 2879.40 ± 145.20 |  882.76 ± 149.29 |                |                  |  19102.93 ± 3136.17 |  19101.02 ± 3136.17 |  19104.81 ± 3137.11 |          0.408 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     85.09 ± 3.14 |     26.97 ± 4.48 |  163.33 ± 2.87 |     47.67 ± 5.45 |                     |                     |                     |          0.408 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |   785.85 ± 76.87 |  270.85 ± 103.99 |                |                  |   8452.88 ± 2424.68 |   8450.98 ± 2424.68 |   8455.12 ± 2423.99 |          0.408 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |     98.21 ± 4.16 |     30.81 ± 4.05 |  174.67 ± 8.34 |     50.25 ± 3.14 |                     |                     |                     |          0.408 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) | 2990.35 ± 113.73 |  791.30 ± 202.01 |                |                  |  22047.06 ± 5198.71 |  22045.16 ± 5198.71 |  22049.55 ± 5198.90 |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     80.21 ± 8.85 |     23.99 ± 6.41 |  176.67 ± 3.86 |     47.47 ± 6.25 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |   780.02 ± 48.17 |  237.74 ± 114.46 |                |                  |  10106.45 ± 3247.72 |  10104.54 ± 3247.72 |  10108.73 ± 3247.47 |          0.404 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    101.32 ± 4.84 |     27.53 ± 4.09 |  190.00 ± 2.16 |     46.20 ± 2.74 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |  2937.82 ± 66.33 |  593.53 ± 247.78 |                |                  | 31815.75 ± 10390.64 | 31813.85 ± 10390.64 | 31817.82 ± 10390.99 |          0.407 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |    68.70 ± 13.84 |     15.83 ± 5.74 | 222.67 ± 23.47 |     41.21 ± 6.95 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |   780.32 ± 17.21 |  192.79 ± 119.04 |                |                  |  13781.92 ± 5769.88 |  13780.02 ± 5769.88 |  13783.56 ± 5769.94 |          0.407 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    110.60 ± 1.32 |     20.40 ± 4.55 |  260.00 ± 5.89 |     39.71 ± 3.02 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |  2954.28 ± 25.48 |  572.00 ± 283.20 |                |                  | 35192.55 ± 14226.15 | 35190.64 ± 14226.15 | 35194.67 ± 14226.27 |          0.406 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     72.20 ± 3.88 |     12.65 ± 4.81 | 245.33 ± 11.59 |     36.50 ± 4.73 |                     |                     |                     |          0.406 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |   808.00 ± 26.48 |  167.37 ± 108.43 |                |                  |  16086.29 ± 6945.55 |  16084.38 ± 6945.55 |  16088.70 ± 6945.66 |          0.406 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    117.90 ± 0.75 |     17.58 ± 3.88 |  273.67 ± 4.64 |     37.23 ± 3.03 |                     |                     |                     |          0.406 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |  2954.28 ± 35.41 |  431.08 ± 268.50 |                |                  | 51283.02 ± 24126.75 | 51281.11 ± 24126.75 | 51285.53 ± 24127.01 |            0.4 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     69.86 ± 4.26 |      8.94 ± 4.73 | 315.67 ± 10.78 |     31.60 ± 6.46 |                     |                     |                     |            0.4 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |   805.24 ± 20.32 |   122.77 ± 95.46 |                |                  | 23683.48 ± 11304.21 | 23681.58 ± 11304.21 | 23685.76 ± 11304.54 |            0.4 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    128.51 ± 2.35 |     12.68 ± 3.33 |  368.33 ± 5.73 |     30.96 ± 4.16 |                     |                     |                     |            0.4 |        0.329 |
