| model              |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1436.41 ± 3.73 |  652.52 ± 411.07 |               |                  |   4283.91 ± 2010.14 |   4282.17 ± 2010.14 |   4283.91 ± 2010.14 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    45.92 ± 1.80 |     14.65 ± 5.02 | 100.00 ± 3.56 |     22.18 ± 3.34 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2826.11 ± 4.22 |   2826.11 ± 4.22 |               |                  |      1451.79 ± 2.17 |      1450.05 ± 2.17 |      1451.79 ± 2.17 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    26.21 ± 0.01 |     26.21 ± 0.01 | 18.33 ± 12.26 |    18.33 ± 12.26 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  1955.55 ± 8.93 |   1955.55 ± 8.93 |               |                  |      1049.04 ± 4.77 |      1047.30 ± 4.77 |      1049.04 ± 4.77 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    26.06 ± 0.25 |     26.06 ± 0.25 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2857.72 ± 7.21 | 2130.54 ± 700.82 |               |                  |    2158.45 ± 709.39 |    2156.71 ± 709.39 |    2158.45 ± 709.39 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    39.65 ± 0.18 |     22.76 ± 2.71 |  52.00 ± 0.00 |     26.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1928.99 ± 21.13 | 1465.92 ± 500.63 |               |                  |    1583.35 ± 540.40 |    1581.61 ± 540.40 |    1583.35 ± 540.40 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    42.26 ± 0.25 |     23.58 ± 2.18 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2868.57 ± 2.38 | 1291.37 ± 801.72 |               |                  |   4300.41 ± 2004.00 |   4298.67 ± 2004.00 |   4300.41 ± 2004.00 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    51.58 ± 1.35 |     14.25 ± 3.07 | 103.33 ± 2.36 |     20.87 ± 0.50 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) | 1987.72 ± 12.65 |  891.07 ± 562.26 |               |                  |   3123.54 ± 1444.41 |   3121.80 ± 1444.41 |   3123.54 ± 1444.41 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    59.52 ± 3.39 |     16.40 ± 2.86 | 108.33 ± 2.36 |     22.00 ± 0.73 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2920.78 ± 7.98 |   2920.78 ± 7.98 |               |                  |      2806.95 ± 7.83 |      2805.21 ± 7.83 |      2806.95 ± 7.83 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    26.30 ± 0.06 |     26.30 ± 0.06 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  1408.20 ± 6.24 |   1408.20 ± 6.24 |               |                  |      1456.11 ± 6.43 |      1454.37 ± 6.43 |      1456.11 ± 6.43 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    26.33 ± 0.02 |     26.33 ± 0.02 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2944.93 ± 2.92 | 2197.53 ± 724.57 |               |                  |   4185.39 ± 1379.50 |   4183.65 ± 1379.50 |   4185.39 ± 1379.50 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    32.74 ± 0.17 |     21.01 ± 4.40 |  52.00 ± 0.00 |     26.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1434.69 ± 1.20 | 1064.66 ± 346.87 |               |                  |    2153.80 ± 701.13 |    2152.06 ± 701.13 |    2153.80 ± 701.13 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    34.35 ± 7.77 |     23.02 ± 2.72 |  50.33 ± 3.86 |     26.77 ± 0.58 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2957.57 ± 1.32 | 1342.74 ± 844.52 |               |                  |   8322.29 ± 3905.78 |   8320.55 ± 3905.78 |   8322.29 ± 3905.78 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    31.55 ± 1.45 |     12.39 ± 4.87 |  97.33 ± 7.04 |     20.98 ± 5.40 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) | 1507.31 ± 12.33 |  591.22 ± 414.14 |               |                  |   4731.81 ± 1939.47 |   4730.08 ± 1939.47 |   4731.81 ± 1939.47 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    53.44 ± 2.35 |     16.32 ± 3.63 | 106.67 ± 2.36 |     22.13 ± 0.62 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2933.31 ± 2.01 |   2933.31 ± 2.01 |               |                  |      5587.92 ± 3.59 |      5586.18 ± 3.59 |      5589.75 ± 3.52 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    23.50 ± 3.88 |     23.50 ± 3.88 |  24.67 ± 3.30 |     24.67 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) | 1938.84 ± 78.75 |  1938.84 ± 78.75 |               |                  |     1059.83 ± 44.20 |     1058.10 ± 44.20 |     1061.70 ± 44.15 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    25.02 ± 1.79 |     25.02 ± 1.79 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2978.85 ± 2.70 | 2007.16 ± 517.23 |               |                  |   8746.10 ± 2253.41 |   8744.36 ± 2253.41 |   8748.15 ± 2253.21 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    22.42 ± 6.24 |     20.97 ± 5.95 | 44.33 ± 12.28 |     22.33 ± 9.55 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 2015.08 ± 52.10 | 1517.95 ± 509.05 |               |                  |    1522.32 ± 511.45 |    1520.58 ± 511.45 |    1523.80 ± 511.67 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    42.75 ± 0.41 |     23.73 ± 2.08 |  52.67 ± 0.94 |     26.33 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2998.20 ± 1.39 | 1230.95 ± 695.21 |               |                  |  17179.65 ± 7427.64 |  17177.91 ± 7427.64 |  17181.45 ± 7427.68 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    21.65 ± 1.32 |      9.72 ± 5.89 |  98.00 ± 4.97 |     20.80 ± 4.07 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) | 2095.09 ± 22.54 |  925.23 ± 574.82 |               |                  |   2980.88 ± 1360.26 |   2979.14 ± 1360.26 |   2982.60 ± 1360.35 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    61.72 ± 2.59 |     16.48 ± 2.71 | 105.00 ± 0.00 |     21.60 ± 0.88 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2948.64 ± 4.67 |   2948.64 ± 4.67 |               |                  |    11115.57 ± 17.54 |    11113.84 ± 17.54 |    11118.00 ± 17.75 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    26.02 ± 0.08 |     26.02 ± 0.08 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  1437.09 ± 9.81 |   1437.09 ± 9.81 |               |                  |      1426.91 ± 9.71 |      1425.17 ± 9.71 |      1429.60 ± 9.40 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    26.15 ± 0.22 |     26.15 ± 0.22 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2955.61 ± 2.63 | 2210.73 ± 732.64 |               |                  |  16653.63 ± 5518.52 |  16651.89 ± 5518.52 |  16656.05 ± 5518.39 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |    15.86 ± 0.04 |     16.82 ± 8.68 |  52.67 ± 0.94 |     26.33 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1509.59 ± 8.68 | 1104.55 ± 348.45 |               |                  |    2060.81 ± 649.61 |    2059.07 ± 649.61 |    2064.14 ± 649.26 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |    36.30 ± 5.93 |     22.24 ± 3.89 |  53.33 ± 0.94 |     26.67 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2960.11 ± 0.95 | 1348.25 ± 852.27 |               |                  | 33223.08 ± 15631.56 | 33221.35 ± 15631.56 | 33225.90 ± 15631.91 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |    11.57 ± 0.75 |      7.72 ± 6.90 | 101.33 ± 5.19 |     22.27 ± 3.71 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1656.65 ± 3.14 |  625.63 ± 424.46 |               |                  |   4386.73 ± 1746.48 |   4384.99 ± 1746.48 |   4389.44 ± 1746.35 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    52.17 ± 4.52 |     16.28 ± 4.61 | 105.00 ± 0.00 |     22.27 ± 1.18 |                     |                     |                     |
