| model              |                 test |      t/s (total) |         t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     23.88 ± 1.29 |      33.22 ± 5.06 |  43.00 ± 2.45 |     38.91 ± 4.76 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2645.24 ± 12.90 |   2645.24 ± 12.90 |               |                  |      1552.34 ± 7.71 |      1549.11 ± 7.71 |      1552.34 ± 7.71 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     33.50 ± 3.13 |      33.50 ± 3.13 |  44.67 ± 1.25 |     44.67 ± 1.25 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    950.50 ± 9.04 |     950.50 ± 9.04 |               |                  |     2158.09 ± 20.37 |     2154.86 ± 20.37 |     2158.09 ± 20.37 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     31.21 ± 1.58 |      31.21 ± 1.58 |  40.67 ± 3.09 |     40.67 ± 3.09 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  1260.33 ± 65.22 | 1634.66 ± 1007.02 |               |                  |   4039.36 ± 2491.80 |   4036.13 ± 2491.80 |   4039.36 ± 2491.80 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     31.28 ± 0.54 |      39.18 ± 3.16 |  50.33 ± 2.87 |     47.50 ± 4.11 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |   596.68 ± 91.33 |   623.74 ± 326.89 |               |                  |   4590.36 ± 2533.01 |   4587.13 ± 2533.01 |   4590.36 ± 2533.01 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     24.73 ± 0.72 |      33.33 ± 6.01 |  46.33 ± 5.25 |     39.46 ± 8.36 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   946.98 ± 63.95 |   820.02 ± 928.28 |               |                  |  11516.79 ± 7224.50 |  11513.56 ± 7224.50 |  11516.79 ± 7224.50 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     26.89 ± 2.25 |      36.95 ± 5.37 |  53.00 ± 2.16 |     46.20 ± 6.08 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   424.90 ± 12.69 |   314.27 ± 326.97 |               |                  |  12938.63 ± 7586.74 |  12935.40 ± 7586.74 |  12938.63 ± 7586.74 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     20.84 ± 1.11 |      32.41 ± 3.76 |  45.33 ± 6.18 |     38.99 ± 5.19 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2654.68 ± 96.33 |   2654.68 ± 96.33 |               |                  |    3094.02 ± 114.71 |    3090.79 ± 114.71 |    3094.02 ± 114.71 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     33.75 ± 3.61 |      33.75 ± 3.61 |  40.26 ± 7.01 |     40.26 ± 7.01 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   512.79 ± 29.26 |    512.79 ± 29.26 |               |                  |    4010.62 ± 238.09 |    4007.39 ± 238.09 |    4010.62 ± 238.09 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     36.28 ± 4.65 |      36.28 ± 4.65 |  43.00 ± 5.72 |     43.00 ± 5.72 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) | 1731.12 ± 102.72 |  1829.93 ± 964.77 |               |                  |   6218.74 ± 3307.72 |   6215.51 ± 3307.72 |   6218.74 ± 3307.72 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     23.90 ± 2.95 |      35.66 ± 5.14 |  50.33 ± 7.04 |     45.26 ± 8.90 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |    364.30 ± 9.63 |   365.63 ± 183.47 |               |                  |   7492.24 ± 3765.04 |   7489.01 ± 3765.04 |   7492.24 ± 3765.04 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     21.68 ± 1.35 |      31.88 ± 3.14 |  41.33 ± 1.89 |     38.67 ± 3.90 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  1445.33 ± 13.30 |   980.38 ± 926.32 |               |                  |  15517.20 ± 9046.04 |  15513.96 ± 9046.04 |  15517.20 ± 9046.04 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     20.59 ± 1.05 |      35.81 ± 5.35 |  51.67 ± 0.94 |     43.13 ± 7.56 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |    298.74 ± 8.46 |   195.70 ± 180.69 |               |                  | 18864.73 ± 10834.29 | 18861.50 ± 10834.29 | 18864.73 ± 10834.29 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     17.33 ± 0.19 |      31.75 ± 4.47 |  44.00 ± 3.27 |     38.57 ± 5.79 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2717.79 ± 68.26 |   2717.79 ± 68.26 |               |                  |    6036.26 ± 154.27 |    6033.03 ± 154.27 |    6037.64 ± 154.26 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     38.32 ± 5.70 |      38.32 ± 5.70 |  45.00 ± 5.66 |     45.00 ± 5.66 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    307.76 ± 6.81 |     307.76 ± 6.81 |               |                  |    6661.02 ± 149.64 |    6657.79 ± 149.64 |    6662.52 ± 149.65 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     33.98 ± 3.13 |      33.98 ± 3.13 |  43.00 ± 4.24 |     43.00 ± 4.24 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 1861.40 ± 366.38 |  1572.23 ± 857.69 |               |                  |  13658.91 ± 6339.19 |  13655.68 ± 6339.19 |  13660.70 ± 6339.12 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     19.66 ± 0.84 |      36.69 ± 3.81 |  48.00 ± 2.16 |     44.00 ± 5.26 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   213.03 ± 39.37 |    177.79 ± 92.25 |               |                  |  14761.07 ± 6669.97 |  14757.83 ± 6669.97 |  14762.37 ± 6669.91 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     15.85 ± 2.02 |      31.21 ± 3.37 |  41.33 ± 3.09 |     38.26 ± 4.52 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  1957.99 ± 13.29 |  1086.64 ± 873.77 |               |                  | 23982.61 ± 12739.40 | 23979.38 ± 12739.40 | 23984.16 ± 12739.32 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     16.08 ± 0.09 |      40.70 ± 4.75 |  54.33 ± 0.94 |     48.40 ± 4.81 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |    206.54 ± 4.55 |    116.95 ± 94.56 |               |                  | 28111.18 ± 15179.73 | 28107.95 ± 15179.73 | 28112.51 ± 15179.88 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     13.69 ± 0.28 |      32.08 ± 3.21 |  44.33 ± 3.86 |     38.67 ± 3.82 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |   2781.71 ± 2.05 |    2781.71 ± 2.05 |               |                  |     11783.54 ± 8.86 |     11780.30 ± 8.86 |     11786.60 ± 8.75 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     37.80 ± 5.69 |      37.80 ± 5.69 |  47.33 ± 5.25 |     47.33 ± 5.25 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    160.73 ± 0.10 |     160.73 ± 0.10 |               |                  |     12745.42 ± 7.72 |     12742.18 ± 7.72 |     12747.19 ± 7.68 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |     34.09 ± 2.55 |      34.09 ± 2.55 |  41.33 ± 4.19 |     41.33 ± 4.19 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2383.78 ± 56.94 |  1963.76 ± 772.32 |               |                  |  19746.13 ± 7775.27 |  19742.89 ± 7775.27 |  19748.84 ± 7774.77 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     11.74 ± 1.72 |      33.76 ± 3.66 |  46.33 ± 5.31 |     42.44 ± 6.05 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |    144.89 ± 4.54 |    116.83 ± 44.40 |               |                  |  20501.82 ± 7818.14 |  20498.58 ± 7818.14 |  20504.00 ± 7818.14 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     11.57 ± 1.26 |      33.07 ± 3.58 |  44.00 ± 3.74 |     40.33 ± 5.37 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2300.74 ± 33.37 |  1166.50 ± 849.49 |               |                  | 41546.16 ± 20936.52 | 41542.93 ± 20936.52 | 41549.10 ± 20936.46 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |      9.49 ± 0.64 |      38.64 ± 6.64 |  56.33 ± 2.62 |     46.64 ± 8.15 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |    134.25 ± 2.25 |     69.15 ± 50.12 |               |                  | 44061.65 ± 22613.43 | 44058.42 ± 22613.43 | 44063.50 ± 22613.67 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |      8.60 ± 0.68 |      33.22 ± 4.85 |  47.33 ± 5.31 |     40.91 ± 6.60 |                     |                     |                     |
