| model              |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    45.18 ± 3.39 |     45.18 ± 3.39 |   54.00 ± 1.41 |     54.00 ± 1.41 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) | 2281.50 ± 28.66 |  2281.50 ± 28.66 |                |                  |      899.82 ± 11.37 |      897.80 ± 11.37 |      900.63 ± 11.56 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    34.27 ± 1.84 |     34.27 ± 1.84 |   40.00 ± 2.45 |     40.00 ± 2.45 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2911.64 ± 2.82 | 1972.26 ± 515.93 |                |                  |   8920.41 ± 2332.88 |   8918.40 ± 2332.88 |   8922.35 ± 2332.96 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    30.87 ± 1.35 |    26.23 ± 11.17 |   78.33 ± 6.60 |     40.17 ± 3.48 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 2229.25 ± 11.02 | 1696.56 ± 580.13 |                |                  |    1368.95 ± 467.33 |    1366.94 ± 467.33 |    1370.23 ± 467.07 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    46.86 ± 2.40 |     28.74 ± 5.72 |   73.00 ± 7.12 |     37.83 ± 3.13 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2914.52 ± 0.74 | 1208.92 ± 691.90 |                |                  |  17597.17 ± 7676.88 |  17595.16 ± 7676.88 |  17598.75 ± 7676.94 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    23.73 ± 1.07 |     13.15 ± 9.52 |  156.00 ± 7.26 |     35.73 ± 5.81 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  2290.06 ± 4.01 | 1028.14 ± 647.81 |                |                  |   2706.88 ± 1252.49 |   2704.86 ± 1252.49 |   2708.05 ± 1252.53 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    63.39 ± 3.63 |     18.47 ± 3.82 |  133.00 ± 5.10 |     30.33 ± 5.31 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2907.53 ± 2.72 |   2907.53 ± 2.72 |                |                  |    11272.77 ± 10.54 |    11270.75 ± 10.54 |    11274.80 ± 10.36 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    39.65 ± 2.80 |     39.65 ± 2.80 |   46.33 ± 3.86 |     46.33 ± 3.86 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) | 1924.23 ± 18.05 |  1924.23 ± 18.05 |                |                  |     1066.44 ± 10.02 |     1064.42 ± 10.02 |      1068.26 ± 9.92 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    38.56 ± 6.13 |     38.56 ± 6.13 |   46.33 ± 7.32 |     46.33 ± 7.32 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2909.64 ± 2.87 | 2073.67 ± 618.50 |                |                  |  17348.07 ± 5173.72 |  17346.05 ± 5173.72 |  17350.65 ± 5174.15 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |    14.72 ± 3.50 |    18.94 ± 12.71 |  65.33 ± 20.07 |    35.67 ± 14.78 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1935.04 ± 7.09 | 1455.50 ± 486.08 |                |                  |    1585.59 ± 528.57 |    1583.58 ± 528.57 |    1587.94 ± 528.76 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |    46.00 ± 1.30 |     26.30 ± 2.87 |   69.33 ± 5.19 |     36.83 ± 2.27 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2899.87 ± 0.96 | 1265.28 ± 765.66 |                |                  | 34569.80 ± 15733.85 | 34567.78 ± 15733.85 | 34572.15 ± 15734.18 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |    12.89 ± 0.14 |      9.33 ± 8.71 | 132.00 ± 11.43 |     31.47 ± 7.70 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1993.86 ± 1.20 |  888.91 ± 553.48 |                |                  |   3113.60 ± 1433.27 |   3111.58 ± 1433.27 |   3115.74 ± 1433.38 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    62.13 ± 0.26 |     17.64 ± 2.65 |  129.00 ± 5.10 |     31.07 ± 4.12 |                     |                     |                     |
