| model              |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1436.92 ± 4.75 |  646.46 ± 401.52 |               |                  |   4293.68 ± 2000.63 |   4291.96 ± 2000.63 |   4293.68 ± 2000.63 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    48.25 ± 3.12 |     14.19 ± 4.50 |  98.67 ± 1.89 |     21.27 ± 2.35 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) | 2797.11 ± 10.35 |  2797.11 ± 10.35 |               |                  |      1466.71 ± 5.42 |      1464.99 ± 5.42 |      1466.71 ± 5.42 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    22.94 ± 4.81 |     22.94 ± 4.81 |  25.17 ± 2.58 |     25.17 ± 2.58 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |  1905.17 ± 8.41 |   1905.17 ± 8.41 |               |                  |      1076.71 ± 4.74 |      1074.99 ± 4.74 |      1076.71 ± 4.74 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    26.26 ± 0.06 |     26.26 ± 0.06 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2844.88 ± 8.77 | 2121.98 ± 698.66 |               |                  |    2167.67 ± 713.17 |    2165.94 ± 713.17 |    2167.67 ± 713.17 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    39.82 ± 0.28 |     22.90 ± 2.76 |  52.00 ± 0.00 |     26.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1910.67 ± 29.36 | 1452.60 ± 496.54 |               |                  |    1598.31 ± 546.29 |    1596.59 ± 546.29 |    1598.31 ± 546.29 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    41.61 ± 1.23 |     23.67 ± 2.34 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2873.98 ± 2.02 | 1298.08 ± 812.29 |               |                  |   4292.40 ± 2004.82 |   4290.68 ± 2004.82 |   4292.40 ± 2004.82 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    49.22 ± 3.19 |     13.72 ± 3.07 |  98.33 ± 2.36 |     20.13 ± 0.96 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) | 1983.15 ± 22.06 |  880.84 ± 546.78 |               |                  |   3136.32 ± 1441.04 |   3134.60 ± 1441.04 |   3136.32 ± 1441.04 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    57.31 ± 3.28 |     15.68 ± 2.55 |  98.67 ± 1.89 |     21.06 ± 1.24 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2920.91 ± 5.71 |   2920.91 ± 5.71 |               |                  |      2807.02 ± 5.49 |      2805.30 ± 5.49 |      2807.02 ± 5.49 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    26.26 ± 0.13 |     26.26 ± 0.13 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |  1393.96 ± 3.36 |   1393.96 ± 3.36 |               |                  |      1470.92 ± 3.54 |      1469.20 ± 3.54 |      1470.92 ± 3.54 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    26.17 ± 0.22 |     26.17 ± 0.22 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2950.43 ± 2.73 | 2198.45 ± 722.80 |               |                  |   4180.65 ± 1373.83 |   4178.93 ± 1373.83 |   4180.65 ± 1373.83 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    32.66 ± 0.80 |     21.26 ± 4.63 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1428.68 ± 1.89 | 1056.03 ± 341.22 |               |                  |    2167.14 ± 699.68 |    2165.42 ± 699.68 |    2167.14 ± 699.68 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    31.82 ± 6.51 |     22.66 ± 3.66 |  53.33 ± 0.94 |     26.83 ± 0.37 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2930.39 ± 6.78 | 1331.91 ± 840.87 |               |                  |   8402.36 ± 3945.56 |   8400.64 ± 3945.56 |   8402.36 ± 3945.56 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    32.91 ± 3.17 |     11.75 ± 4.20 |  96.67 ± 4.71 |     19.73 ± 5.18 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1501.63 ± 0.84 |  587.16 ± 409.07 |               |                  |   4751.86 ± 1943.47 |   4750.14 ± 1943.47 |   4751.86 ± 1943.47 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    51.51 ± 3.70 |     15.60 ± 4.59 | 101.00 ± 3.27 |     20.80 ± 1.72 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2900.27 ± 5.51 |   2900.27 ± 5.51 |               |                  |     5651.56 ± 10.92 |     5649.84 ± 10.92 |     5653.29 ± 11.09 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    25.92 ± 0.18 |     25.92 ± 0.18 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |  1972.75 ± 3.17 |   1972.75 ± 3.17 |               |                  |      1039.87 ± 1.66 |      1038.15 ± 1.66 |      1041.68 ± 1.60 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    26.02 ± 0.10 |     26.02 ± 0.10 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2957.87 ± 4.56 | 1990.66 ± 511.30 |               |                  |   8814.54 ± 2263.55 |   8812.82 ± 2263.55 |   8816.31 ± 2263.28 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    26.78 ± 0.05 |     19.65 ± 5.97 |  52.00 ± 0.00 |     26.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 1998.29 ± 18.77 | 1494.26 ± 493.50 |               |                  |    1540.09 ± 508.14 |    1538.37 ± 508.14 |    1541.87 ± 508.12 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    36.60 ± 9.18 |     23.86 ± 2.06 |  48.67 ± 7.54 |     27.20 ± 0.45 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2971.15 ± 1.18 | 1220.79 ± 691.54 |               |                  |  17339.90 ± 7501.79 |  17338.18 ± 7501.79 |  17341.72 ± 7501.83 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    20.33 ± 3.13 |      9.36 ± 5.85 |  95.33 ± 6.60 |     21.00 ± 4.56 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  2058.12 ± 3.71 |  910.77 ± 568.92 |               |                  |   3033.23 ± 1384.43 |   3031.51 ± 1384.43 |   3035.23 ± 1384.39 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    57.61 ± 4.34 |     14.56 ± 2.65 | 101.67 ± 2.36 |     20.47 ± 0.50 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2942.70 ± 2.76 |   2942.70 ± 2.76 |               |                  |    11137.76 ± 10.45 |    11136.04 ± 10.45 |    11140.45 ± 10.30 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    26.10 ± 0.09 |     26.10 ± 0.09 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |  1443.53 ± 9.96 |   1443.53 ± 9.96 |               |                  |      1420.53 ± 9.83 |      1418.81 ± 9.83 |      1425.96 ± 8.68 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    26.32 ± 0.07 |     26.32 ± 0.07 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2947.41 ± 0.38 | 2201.54 ± 727.51 |               |                  |  16711.42 ± 5521.76 |  16709.70 ± 5521.76 |  16714.59 ± 5521.55 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |    13.29 ± 3.61 |     15.08 ± 8.49 | 44.33 ± 12.28 |     22.33 ± 9.55 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1508.94 ± 2.30 | 1105.62 ± 349.92 |               |                  |    2060.19 ± 651.30 |    2058.47 ± 651.30 |    2062.90 ± 651.36 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |    37.48 ± 5.24 |     21.14 ± 4.01 |  49.33 ± 6.60 |     24.67 ± 3.30 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2955.03 ± 2.19 | 1347.09 ± 852.80 |               |                  | 33273.44 ± 15663.67 | 33271.72 ± 15663.67 | 33275.93 ± 15664.20 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |    10.54 ± 1.63 |      7.47 ± 7.60 |  92.00 ± 5.66 |     20.73 ± 7.61 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1644.82 ± 1.89 |  614.13 ± 409.86 |               |                  |   4432.22 ± 1747.73 |   4430.50 ± 1747.73 |   4435.11 ± 1747.56 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    56.47 ± 0.24 |     16.15 ± 3.02 | 102.00 ± 2.16 |     20.53 ± 0.50 |                     |                     |                     |
