| model              |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  pp2048 @ d2048 (c2) |  1317.23 ± 15.17 |  984.57 ± 325.89 |                |                  |    2337.90 ± 772.45 |    2335.65 ± 772.45 |    2337.90 ± 772.45 |
| qwen3.8-flash-next |   tg128 @ d2048 (c2) |     43.57 ± 1.69 |     29.38 ± 6.44 |   82.67 ± 4.64 |     43.50 ± 5.68 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |   2632.76 ± 4.36 | 1218.86 ± 803.18 |                |                  |   2338.71 ± 1106.36 |   2336.46 ± 1106.36 |   2338.71 ± 1106.36 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |     73.73 ± 1.45 |     19.81 ± 3.47 |  140.67 ± 4.99 |     32.80 ± 3.06 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |   1318.82 ± 2.05 |  602.07 ± 381.02 |                |                  |   4655.34 ± 2192.70 |   4653.09 ± 2192.70 |   4655.34 ± 2192.70 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |     39.73 ± 2.87 |     14.00 ± 6.66 |   96.33 ± 3.30 |     25.13 ± 8.54 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2633.58 ± 33.13 |  2633.58 ± 33.13 |                |                  |     1558.55 ± 19.47 |     1556.30 ± 19.47 |     1558.55 ± 19.47 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |     38.83 ± 3.81 |     38.83 ± 3.81 |   43.89 ± 5.14 |     43.89 ± 5.14 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) |    939.87 ± 1.21 |    939.87 ± 1.21 |                |                  |      2181.27 ± 2.80 |      2179.02 ± 2.80 |      2181.27 ± 2.80 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |     33.65 ± 4.35 |     33.65 ± 4.35 |   43.67 ± 3.86 |     43.67 ± 3.86 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2655.62 ± 12.19 | 1997.39 ± 668.72 |                |                  |    2312.74 ± 773.39 |    2310.49 ± 773.39 |    2312.74 ± 773.39 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |     42.67 ± 0.75 |     26.41 ± 3.67 |   71.00 ± 1.63 |     37.83 ± 3.76 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) |    939.13 ± 2.41 |  709.34 ± 239.52 |                |                  |   3260.95 ± 1100.30 |   3258.70 ± 1100.30 |   3260.95 ± 1100.30 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |     34.52 ± 2.08 |     22.80 ± 4.25 |   66.33 ± 1.70 |     34.83 ± 2.79 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |   2641.96 ± 3.30 | 1209.71 ± 768.62 |                |                  |   4646.32 ± 2194.06 |   4644.07 ± 2194.06 |   4646.32 ± 2194.06 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |     49.28 ± 1.84 |     16.57 ± 4.94 | 135.33 ± 12.55 |     31.87 ± 4.79 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |    931.04 ± 1.12 |  428.07 ± 273.70 |                |                  |   6581.11 ± 3116.97 |   6578.86 ± 3116.97 |   6581.11 ± 3116.97 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |     37.77 ± 3.14 |     12.86 ± 5.61 |  109.67 ± 9.46 |     26.13 ± 7.57 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |   2780.31 ± 9.32 |   2780.31 ± 9.32 |                |                  |      2949.43 ± 9.90 |      2947.18 ± 9.90 |      2949.43 ± 9.90 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |     38.68 ± 3.50 |     38.68 ± 3.50 |   46.67 ± 2.62 |     46.67 ± 2.62 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |    569.00 ± 0.55 |    569.00 ± 0.55 |                |                  |      3601.58 ± 3.45 |      3599.33 ± 3.45 |      3601.58 ± 3.45 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |     31.84 ± 1.45 |     31.84 ± 1.45 |   37.67 ± 1.89 |     37.67 ± 1.89 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2760.53 ± 12.60 | 2076.97 ± 696.32 |                |                  |   4446.81 ± 1489.70 |   4444.56 ± 1489.70 |   4446.81 ± 1489.70 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |     37.26 ± 1.75 |     26.88 ± 7.26 |   83.67 ± 7.59 |     46.00 ± 2.83 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |    569.69 ± 0.80 |  429.31 ± 144.38 |                |                  |   5381.01 ± 1808.83 |   5378.76 ± 1808.83 |   5381.01 ± 1808.83 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |     31.75 ± 0.51 |     22.65 ± 6.36 |   66.33 ± 1.70 |     37.83 ± 2.97 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |   2744.88 ± 6.71 | 1262.78 ± 806.92 |                |                  |   8925.93 ± 4231.39 |   8923.68 ± 4231.39 |   8925.93 ± 4231.39 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |     36.77 ± 0.71 |     14.11 ± 5.74 |  144.00 ± 1.63 |     33.47 ± 4.16 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |    564.22 ± 1.17 |  258.40 ± 164.55 |                |                  |  10875.90 ± 5137.08 |  10873.65 ± 5137.08 |  10875.90 ± 5137.08 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |     30.92 ± 0.44 |     11.93 ± 5.55 |  122.00 ± 6.16 |     29.40 ± 2.42 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |   2833.59 ± 5.19 |   2833.59 ± 5.19 |                |                  |     5785.03 ± 10.60 |     5782.78 ± 10.60 |     5786.46 ± 10.58 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |     29.55 ± 2.95 |     29.55 ± 2.95 |   34.67 ± 2.87 |     34.67 ± 2.87 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |    312.03 ± 0.37 |    312.03 ± 0.37 |                |                  |      6565.66 ± 7.72 |      6563.41 ± 7.72 |      6566.98 ± 7.62 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |     32.43 ± 1.08 |     32.43 ± 1.08 |   38.08 ± 2.87 |     38.08 ± 2.87 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |   2820.08 ± 3.11 | 2126.18 ± 715.66 |                |                  |   8693.55 ± 2925.25 |   8691.30 ± 2925.25 |   8695.14 ± 2925.35 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |     25.00 ± 2.93 |    23.23 ± 10.59 |  82.00 ± 12.33 |     42.50 ± 8.16 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |    310.15 ± 0.07 |   233.44 ± 78.32 |                |                  |   9888.10 ± 3316.81 |   9885.85 ± 3316.81 |   9889.53 ± 3316.71 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |     23.00 ± 0.67 |     20.49 ± 8.56 |   67.33 ± 8.26 |     37.67 ± 5.50 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |   2796.55 ± 1.56 | 1288.51 ± 826.27 |                |                  |  17516.67 ± 8311.52 |  17514.42 ± 8311.52 |  17518.26 ± 8311.59 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |     22.10 ± 0.37 |     11.09 ± 7.52 |  134.67 ± 1.25 |     32.40 ± 4.27 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |    308.14 ± 0.41 |   141.61 ± 90.50 |                |                  |  19885.63 ± 9419.41 |  19883.38 ± 9419.41 |  19887.11 ± 9419.44 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |     17.21 ± 2.72 |      9.54 ± 7.34 | 112.67 ± 13.57 |     28.40 ± 7.58 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2799.49 ± 11.80 |  2799.49 ± 11.80 |                |                  |    11708.05 ± 49.57 |    11705.80 ± 49.57 |    11710.16 ± 50.02 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |     46.87 ± 1.66 |     46.87 ± 1.66 |   56.00 ± 0.82 |     56.00 ± 0.82 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |    164.31 ± 0.29 |    164.31 ± 0.29 |                |                  |    12466.89 ± 21.89 |    12464.64 ± 21.89 |    12468.54 ± 21.62 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    35.24 ± 10.59 |    35.24 ± 10.59 |  43.67 ± 13.89 |    43.67 ± 13.89 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |   2794.53 ± 1.69 | 2103.46 ± 705.89 |                |                  |  17558.53 ± 5891.65 |  17556.28 ± 5891.65 |  17560.66 ± 5892.04 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |     16.51 ± 0.58 |    22.32 ± 14.08 |   87.00 ± 7.07 |     45.00 ± 3.79 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |    163.79 ± 0.36 |   123.08 ± 41.16 |                |                  |  18738.16 ± 6266.59 |  18735.91 ± 6266.59 |  18740.74 ± 6266.63 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |     12.41 ± 3.07 |    19.72 ± 14.47 |  60.67 ± 12.81 |    32.50 ± 13.59 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |   2773.85 ± 1.17 | 1275.30 ± 815.43 |                |                  | 35339.76 ± 16745.05 | 35337.51 ± 16745.05 | 35342.10 ± 16744.92 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |     11.87 ± 0.62 |      9.43 ± 9.98 | 138.67 ± 11.15 |     31.20 ± 9.25 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |    161.72 ± 1.30 |    74.12 ± 47.32 |                |                  | 37956.04 ± 17943.14 | 37953.79 ± 17943.14 | 37958.24 ± 17943.39 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |     10.57 ± 1.13 |      7.70 ± 8.05 | 108.00 ± 10.23 |     27.60 ± 8.19 |                     |                     |                     |
