| model              |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    47.24 ± 5.07 |     15.20 ± 6.35 | 126.33 ± 22.90 |     28.33 ± 8.71 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |   931.06 ± 2.31 |  427.02 ± 272.53 |                |                  |   6589.14 ± 3114.68 |   6586.69 ± 3114.68 |   6589.14 ± 3114.68 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    40.91 ± 2.28 |     14.01 ± 5.30 |  127.00 ± 9.09 |     29.27 ± 4.07 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) | 2765.81 ± 12.89 |  2765.81 ± 12.89 |                |                  |     2965.13 ± 13.78 |     2962.67 ± 13.78 |     2965.13 ± 13.78 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    35.16 ± 2.72 |     35.16 ± 2.72 |   40.67 ± 4.03 |     40.67 ± 4.03 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) |   825.58 ± 2.88 |    825.58 ± 2.88 |                |                  |      2483.15 ± 8.64 |      2480.70 ± 8.64 |      2483.15 ± 8.64 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    30.34 ± 3.08 |     30.34 ± 3.08 |   36.93 ± 5.75 |     36.93 ± 5.75 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2770.10 ± 8.95 | 2085.57 ± 699.91 |                |                  |   4430.12 ± 1485.99 |   4427.67 ± 1485.99 |   4430.12 ± 1485.99 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    36.06 ± 0.75 |    27.90 ± 10.03 |   80.67 ± 5.56 |     43.83 ± 6.09 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |   825.23 ± 1.26 |  621.27 ± 208.46 |                |                  |   3717.05 ± 1246.16 |   3714.59 ± 1246.16 |   3717.05 ± 1246.16 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    35.39 ± 0.34 |     23.03 ± 4.14 |   69.33 ± 3.77 |     36.17 ± 5.05 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2746.21 ± 5.36 | 1259.97 ± 802.86 |                |                  |   8931.03 ± 4224.85 |   8928.58 ± 4224.85 |   8931.03 ± 4224.85 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    37.06 ± 0.89 |     14.52 ± 6.97 |  141.33 ± 9.10 |     32.47 ± 4.16 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |   821.37 ± 0.43 |  377.70 ± 241.69 |                |                  |   7461.16 ± 3534.11 |   7458.70 ± 3534.11 |   7461.16 ± 3534.11 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    38.51 ± 0.37 |     13.11 ± 4.88 |  115.67 ± 2.87 |     27.07 ± 2.38 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2839.73 ± 7.46 |   2839.73 ± 7.46 |                |                  |     5772.88 ± 15.31 |     5770.42 ± 15.31 |     5774.51 ± 15.41 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    33.84 ± 7.08 |     33.84 ± 7.08 |  42.00 ± 10.61 |    42.00 ± 10.61 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |   990.97 ± 5.58 |    990.97 ± 5.58 |                |                  |     2069.18 ± 11.62 |     2066.72 ± 11.62 |     2070.69 ± 11.61 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    39.33 ± 3.48 |     39.33 ± 3.48 |   47.67 ± 3.68 |     47.67 ± 3.68 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) | 2816.17 ± 10.48 | 2120.78 ± 712.26 |                |                  |   8711.03 ± 2924.53 |   8708.57 ± 2924.53 |   8712.64 ± 2924.70 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    26.08 ± 1.56 |    24.39 ± 11.08 |   87.00 ± 4.97 |     45.00 ± 6.08 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) |   991.18 ± 3.65 |  743.28 ± 247.31 |                |                  |   3100.71 ± 1030.66 |   3098.26 ± 1030.66 |   3101.80 ± 1030.66 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    38.48 ± 1.47 |     24.09 ± 4.07 |   70.33 ± 4.19 |     35.67 ± 2.43 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) | 2768.60 ± 27.45 | 1271.55 ± 812.71 |                |                  |  17717.29 ± 8391.57 |  17714.84 ± 8391.57 |  17719.01 ± 8391.47 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    20.68 ± 2.02 |     10.98 ± 7.81 |  130.33 ± 8.06 |     30.93 ± 8.32 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |   972.93 ± 5.21 |  442.51 ± 279.65 |                |                  |   6322.77 ± 2968.09 |   6320.31 ± 2968.09 |   6323.81 ± 2967.93 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    36.30 ± 3.12 |     13.58 ± 6.42 |  118.33 ± 2.87 |     28.47 ± 5.68 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2811.55 ± 4.40 |   2811.55 ± 4.40 |                |                  |    11657.97 ± 18.25 |    11655.52 ± 18.25 |    11660.25 ± 17.97 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    36.77 ± 7.26 |     36.77 ± 7.26 |   49.00 ± 4.24 |     49.00 ± 4.24 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) |   911.35 ± 8.05 |    911.35 ± 8.05 |                |                  |     2249.83 ± 19.75 |     2247.38 ± 19.75 |     2252.72 ± 19.92 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    32.66 ± 4.69 |     32.66 ± 4.69 |   38.33 ± 4.78 |     38.33 ± 4.78 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2798.84 ± 2.09 | 2106.73 ± 707.04 |                |                  |  17531.80 ± 5882.88 |  17529.34 ± 5882.88 |  17534.08 ± 5882.68 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |    15.89 ± 0.19 |    19.34 ± 10.83 |   73.33 ± 4.99 |     40.67 ± 4.96 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |   916.36 ± 5.90 |  683.10 ± 224.51 |                |                  |   3363.40 ± 1104.17 |   3360.94 ± 1104.17 |   3365.95 ± 1104.18 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |    40.88 ± 3.04 |     26.87 ± 6.62 |   77.67 ± 9.81 |     41.17 ± 5.34 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2778.49 ± 1.02 | 1277.66 ± 817.09 |                |                  | 35282.14 ± 16723.19 | 35279.68 ± 16723.19 | 35284.51 ± 16723.36 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |    11.53 ± 1.17 |    10.18 ± 11.14 | 132.00 ± 22.99 |    32.20 ± 11.02 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |   920.69 ± 2.04 |  417.92 ± 262.13 |                |                  |   6676.26 ± 3131.22 |   6673.81 ± 3131.22 |   6678.89 ± 3131.25 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    43.63 ± 1.25 |     15.18 ± 5.88 |  131.00 ± 7.79 |     31.47 ± 3.91 |                     |                     |                     |
