| model              |                 test |     t/s (total) |        t/s (req) |      peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| qwen3.8-flash-next |  ctx_pp @ d2048 (c5) |  2826.54 ± 1.18 | 1267.66 ± 796.15 |               |                  |   2196.71 ± 1016.08 |   2194.21 ± 1016.08 |   2196.71 ± 1016.08 |
| qwen3.8-flash-next |  ctx_tg @ d2048 (c5) |    61.21 ± 3.10 |     16.09 ± 3.79 |  98.67 ± 5.79 |     21.07 ± 3.86 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d2048 (c5) |  1434.70 ± 3.07 |  647.84 ± 404.50 |               |                  |   4295.77 ± 2005.91 |   4293.28 ± 2005.91 |   4295.77 ± 2005.91 |
| qwen3.8-flash-next |   tg128 @ d2048 (c5) |    47.87 ± 3.78 |     15.09 ± 3.04 |  98.00 ± 5.35 |     22.19 ± 0.94 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c1) |  2811.05 ± 2.27 |   2811.05 ± 2.27 |               |                  |      1460.31 ± 1.18 |      1457.82 ± 1.18 |      1460.31 ± 1.18 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c1) |    25.89 ± 0.09 |     25.89 ± 0.09 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c1) | 1930.86 ± 28.80 |  1930.86 ± 28.80 |               |                  |     1063.40 ± 15.99 |     1060.90 ± 15.99 |     1063.40 ± 15.99 |
| qwen3.8-flash-next |   tg128 @ d4096 (c1) |    25.88 ± 0.42 |     25.88 ± 0.42 |  26.92 ± 0.11 |     26.92 ± 0.11 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c2) |  2827.35 ± 7.54 | 2093.16 ± 678.32 |               |                  |    2190.02 ± 708.90 |    2187.52 ± 708.90 |    2190.02 ± 708.90 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c2) |    40.19 ± 0.06 |     23.12 ± 2.79 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c2) | 1904.33 ± 38.05 | 1438.99 ± 486.10 |               |                  |    1609.18 ± 543.42 |    1606.69 ± 543.42 |    1609.18 ± 543.42 |
| qwen3.8-flash-next |   tg128 @ d4096 (c2) |    34.73 ± 5.53 |     23.31 ± 3.29 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d4096 (c5) |  2867.02 ± 8.81 | 1294.67 ± 808.92 |               |                  |   4302.54 ± 2009.25 |   4300.04 ± 2009.25 |   4302.54 ± 2009.25 |
| qwen3.8-flash-next |  ctx_tg @ d4096 (c5) |    49.42 ± 3.52 |     14.10 ± 4.38 |  97.67 ± 3.30 |     20.33 ± 2.91 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d4096 (c5) |  1975.55 ± 8.13 |  887.65 ± 561.42 |               |                  |   3140.32 ± 1454.09 |   3137.82 ± 1454.09 |   3140.32 ± 1454.09 |
| qwen3.8-flash-next |   tg128 @ d4096 (c5) |    60.35 ± 0.48 |     15.65 ± 2.67 | 103.00 ± 2.16 |     20.73 ± 0.44 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c1) |  2917.81 ± 6.63 |   2917.81 ± 6.63 |               |                  |      2810.77 ± 6.37 |      2808.28 ± 6.37 |      2810.77 ± 6.37 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c1) |    25.99 ± 0.30 |     25.99 ± 0.30 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c1) | 1387.25 ± 19.25 |  1387.25 ± 19.25 |               |                  |     1479.08 ± 20.68 |     1476.58 ± 20.68 |     1479.08 ± 20.68 |
| qwen3.8-flash-next |   tg128 @ d8192 (c1) |    26.14 ± 0.13 |     26.14 ± 0.13 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c2) |  2938.82 ± 3.83 | 2190.87 ± 720.80 |               |                  |   4196.50 ± 1379.75 |   4194.00 ± 1379.75 |   4196.50 ± 1379.75 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c2) |    32.92 ± 0.16 |     21.17 ± 4.46 |  52.67 ± 0.94 |     26.33 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c2) |  1427.79 ± 3.95 | 1057.82 ± 343.30 |               |                  |    2166.45 ± 702.27 |    2163.96 ± 702.27 |    2166.45 ± 702.27 |
| qwen3.8-flash-next |   tg128 @ d8192 (c2) |    29.31 ± 7.85 |     21.32 ± 4.62 |  48.33 ± 6.65 |     26.50 ± 0.76 |                     |                     |                     |
| qwen3.8-flash-next |  ctx_pp @ d8192 (c5) |  2948.03 ± 5.43 | 1335.48 ± 837.82 |               |                  |   8355.48 ± 3913.03 |   8352.98 ± 3913.03 |   8355.48 ± 3913.03 |
| qwen3.8-flash-next |  ctx_tg @ d8192 (c5) |    36.06 ± 0.06 |     12.03 ± 4.28 | 100.00 ± 0.00 |     20.60 ± 0.80 |                     |                     |                     |
| qwen3.8-flash-next |  pp2048 @ d8192 (c5) |  1514.04 ± 1.99 |  591.60 ± 410.29 |               |                  |   4708.65 ± 1925.27 |   4706.16 ± 1925.27 |   4708.65 ± 1925.27 |
| qwen3.8-flash-next |   tg128 @ d8192 (c5) |    49.82 ± 2.34 |     14.70 ± 3.33 | 100.00 ± 4.08 |     20.60 ± 1.14 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c1) |  2925.95 ± 3.99 |   2925.95 ± 3.99 |               |                  |      5602.62 ± 7.75 |      5600.13 ± 7.75 |      5604.26 ± 7.87 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c1) |    26.18 ± 0.04 |     26.18 ± 0.04 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c1) |  1999.53 ± 5.05 |   1999.53 ± 5.05 |               |                  |      1026.74 ± 2.59 |      1024.25 ± 2.59 |      1028.62 ± 2.56 |
| qwen3.8-flash-next |  tg128 @ d16384 (c1) |    26.28 ± 0.04 |     26.28 ± 0.04 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c2) |  2969.79 ± 3.02 | 1998.89 ± 513.43 |               |                  |   8778.89 ± 2254.22 |   8776.39 ± 2254.22 |   8780.71 ± 2254.12 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c2) |    22.50 ± 6.31 |     21.09 ± 5.98 | 45.00 ± 12.73 |     22.67 ± 9.69 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c2) | 2006.39 ± 12.95 | 1478.52 ± 473.69 |               |                  |    1545.91 ± 494.05 |    1543.41 ± 494.05 |    1547.65 ± 494.13 |
| qwen3.8-flash-next |  tg128 @ d16384 (c2) |    42.95 ± 0.41 |     23.77 ± 2.03 |  53.33 ± 0.94 |     26.67 ± 0.47 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d16384 (c5) |  2989.51 ± 0.41 | 1226.88 ± 693.03 |               |                  |  17236.21 ± 7448.36 |  17233.72 ± 7448.36 |  17238.13 ± 7448.30 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c5) |    21.30 ± 1.50 |      9.67 ± 5.43 |  94.67 ± 7.54 |     21.27 ± 2.11 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d16384 (c5) |  2092.08 ± 2.90 |  925.22 ± 571.31 |               |                  |   2977.67 ± 1361.07 |   2975.17 ± 1361.07 |   2979.60 ± 1361.13 |
| qwen3.8-flash-next |  tg128 @ d16384 (c5) |    59.34 ± 2.98 |     15.58 ± 3.22 | 102.00 ± 2.16 |     21.00 ± 0.73 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c1) |  2942.03 ± 9.83 |   2942.03 ± 9.83 |               |                  |    11141.18 ± 37.14 |    11138.69 ± 37.14 |    11143.87 ± 36.98 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c1) |    25.73 ± 0.04 |     25.73 ± 0.04 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c1) | 1422.73 ± 19.26 |  1422.73 ± 19.26 |               |                  |     1442.24 ± 19.50 |     1439.75 ± 19.50 |     1444.98 ± 19.54 |
| qwen3.8-flash-next |  tg128 @ d32768 (c1) |    26.15 ± 0.05 |     26.15 ± 0.05 |  27.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c2) |  2954.19 ± 1.40 | 2211.44 ± 733.97 |               |                  |  16655.27 ± 5527.11 |  16652.78 ± 5527.11 |  16657.59 ± 5527.58 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c2) |    15.82 ± 0.03 |     16.75 ± 8.63 |  52.00 ± 0.00 |     26.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c2) |  1508.32 ± 2.41 | 1104.18 ± 348.45 |               |                  |    2062.41 ± 650.05 |    2059.91 ± 650.05 |    2065.93 ± 649.70 |
| qwen3.8-flash-next |  tg128 @ d32768 (c2) |    40.94 ± 0.17 |     23.30 ± 2.59 |  54.00 ± 0.00 |     27.00 ± 0.00 |                     |                     |                     |
| qwen3.8-flash-next | ctx_pp @ d32768 (c5) |  2956.26 ± 0.63 | 1347.13 ± 851.91 |               |                  | 33260.21 ± 15654.52 | 33257.71 ± 15654.52 | 33263.43 ± 15654.43 |
| qwen3.8-flash-next | ctx_tg @ d32768 (c5) |    12.57 ± 0.01 |      7.67 ± 6.54 | 100.00 ± 0.00 |     22.27 ± 2.14 |                     |                     |                     |
| qwen3.8-flash-next | pp2048 @ d32768 (c5) |  1652.91 ± 2.28 |  621.80 ± 419.32 |               |                  |   4401.26 ± 1745.97 |   4398.76 ± 1745.97 |   4405.37 ± 1744.25 |
| qwen3.8-flash-next |  tg128 @ d32768 (c5) |    55.93 ± 1.00 |     16.25 ± 3.03 | 101.67 ± 2.36 |     20.93 ± 0.93 |                     |                     |                     |
