| model                                        |                 test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |   tg256 @ d4096 (c1) |     38.20 ± 9.06 |     38.20 ± 9.06 |  57.00 ± 10.00 |    57.00 ± 10.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  ctx_pp @ d4096 (c2) |  2557.03 ± 71.81 |  1325.58 ± 55.07 |                |                  |    3102.70 ± 130.39 |    3097.07 ± 130.39 |    3102.70 ± 130.39 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  ctx_tg @ d4096 (c2) |     56.89 ± 3.59 |     32.64 ± 4.39 |   84.50 ± 1.50 |     51.00 ± 4.95 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  pp2048 @ d4096 (c2) |  2305.11 ± 33.16 | 1699.87 ± 544.20 |                |                  |    1347.97 ± 429.79 |    1342.34 ± 429.79 |    1347.97 ± 429.79 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |   tg256 @ d4096 (c2) |     56.01 ± 4.07 |     30.28 ± 3.15 |   89.00 ± 4.00 |     44.50 ± 5.12 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  ctx_pp @ d4096 (c5) |  2855.23 ± 14.23 |  652.91 ± 155.67 |                |                  |   6556.29 ± 1151.23 |   6550.66 ± 1151.23 |   6556.29 ± 1151.23 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  ctx_tg @ d4096 (c5) |     60.49 ± 0.28 |     19.08 ± 4.60 |  117.50 ± 4.50 |    31.10 ± 11.36 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  pp2048 @ d4096 (c5) |  2508.14 ± 99.91 |  819.08 ± 620.93 |                |                  |   3417.70 ± 1212.42 |   3412.07 ± 1212.42 |   3417.70 ± 1212.42 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |   tg256 @ d4096 (c5) |     61.49 ± 1.12 |     22.04 ± 4.59 |  142.00 ± 4.00 |    37.10 ± 10.53 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d16384 (c1) |  2884.24 ± 22.77 |  2884.24 ± 22.77 |                |                  |     5687.19 ± 44.86 |     5681.57 ± 44.86 |     5688.03 ± 45.69 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d16384 (c1) |     35.17 ± 3.45 |     35.17 ± 3.45 |   47.00 ± 4.00 |     47.00 ± 4.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d16384 (c1) |  2055.20 ± 82.32 |  2055.20 ± 82.32 |                |                  |     1003.73 ± 39.98 |      998.10 ± 39.98 |     1004.66 ± 39.05 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d16384 (c1) |     40.49 ± 4.63 |     40.49 ± 4.63 |   54.50 ± 5.50 |     54.50 ± 5.50 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d16384 (c2) |  2730.34 ± 87.36 |  1381.98 ± 47.40 |                |                  |   11876.16 ± 406.90 |   11870.53 ± 406.90 |   11877.40 ± 407.21 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d16384 (c2) |    48.70 ± 10.95 |     34.35 ± 4.10 |   84.00 ± 2.00 |     45.75 ± 7.82 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d16384 (c2) | 2011.23 ± 106.68 | 1478.68 ± 477.18 |                |                  |    1550.52 ± 498.18 |    1544.89 ± 498.18 |    1551.27 ± 498.31 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d16384 (c2) |     61.95 ± 4.01 |     35.68 ± 3.86 |   96.50 ± 8.50 |    55.75 ± 10.62 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d16384 (c5) |  2661.91 ± 63.08 |  759.91 ± 318.85 |                |                  |  24457.74 ± 7094.77 |  24452.11 ± 7094.77 |  24458.87 ± 7094.73 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d16384 (c5) |     33.32 ± 1.46 |     14.95 ± 5.47 | 127.00 ± 10.00 |     30.20 ± 6.10 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d16384 (c5) |  2293.02 ± 44.91 |  750.85 ± 564.93 |                |                  |   3722.09 ± 1315.59 |   3716.46 ± 1315.59 |   3723.33 ± 1315.58 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d16384 (c5) |     57.46 ± 1.37 |     20.85 ± 4.94 |  133.00 ± 6.00 |    37.30 ± 10.41 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d32768 (c1) |  2666.12 ± 32.82 |  2666.12 ± 32.82 |                |                  |   12298.56 ± 151.13 |   12292.93 ± 151.13 |   12300.21 ± 150.86 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d32768 (c1) |     39.68 ± 0.14 |     39.68 ± 0.14 |   52.00 ± 2.00 |     52.00 ± 2.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d32768 (c1) | 1729.61 ± 165.45 | 1729.61 ± 165.45 |                |                  |    1200.64 ± 114.31 |    1195.02 ± 114.31 |    1203.46 ± 114.36 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d32768 (c1) |     42.18 ± 0.12 |     42.18 ± 0.12 |   56.00 ± 2.00 |     56.00 ± 2.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d32768 (c2) |  2657.63 ± 33.56 | 1558.67 ± 230.63 |                |                  |  21499.79 ± 3177.20 |  21494.16 ± 3177.20 |  21501.43 ± 3177.73 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d32768 (c2) |     35.40 ± 0.51 |     24.77 ± 6.99 |   86.00 ± 8.00 |     45.75 ± 3.49 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d32768 (c2) |  1900.01 ± 18.05 | 1376.84 ± 423.30 |                |                  |    1648.35 ± 505.08 |    1642.73 ± 505.08 |    1651.02 ± 505.21 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d32768 (c2) |     58.01 ± 0.60 |     32.84 ± 4.26 |   84.00 ± 5.00 |     49.25 ± 4.97 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d32768 (c5) |  2668.21 ± 16.89 |  927.46 ± 481.69 |                |                  | 43219.27 ± 16064.76 | 43213.64 ± 16064.76 | 43220.07 ± 16064.31 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d32768 (c5) |     20.38 ± 0.21 |     10.31 ± 4.78 | 148.00 ± 10.00 |    37.80 ± 10.82 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d32768 (c5) |  2113.64 ± 53.93 |  665.36 ± 472.56 |                |                  |   4078.76 ± 1403.61 |   4073.13 ± 1403.61 |   4081.39 ± 1403.64 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d32768 (c5) |     56.47 ± 3.83 |     22.09 ± 4.70 |  142.00 ± 7.00 |     35.40 ± 8.69 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d65536 (c1) |  2590.15 ± 13.68 |  2590.15 ± 13.68 |                |                  |   25309.16 ± 133.68 |   25303.53 ± 133.68 |   25311.48 ± 136.00 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d65536 (c1) |     40.41 ± 0.73 |     40.41 ± 0.73 |   49.00 ± 5.00 |     49.00 ± 5.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d65536 (c1) |  1524.99 ± 16.33 |  1524.99 ± 16.33 |                |                  |     1348.75 ± 14.38 |     1343.12 ± 14.38 |     1353.70 ± 14.34 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d65536 (c1) |     41.70 ± 2.43 |     41.70 ± 2.43 |   58.00 ± 4.00 |     58.00 ± 4.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d65536 (c2) |  2492.08 ± 10.10 | 1651.54 ± 405.34 |                |                  | 42232.30 ± 10365.00 | 42226.67 ± 10365.00 | 42235.31 ± 10363.49 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d65536 (c2) |     13.73 ± 2.69 |    19.29 ± 14.17 |   67.50 ± 3.50 |     41.00 ± 8.86 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d65536 (c2) |  1505.69 ± 65.82 | 1052.36 ± 304.05 |                |                  |    2125.94 ± 606.44 |    2120.31 ± 606.44 |    2129.04 ± 605.56 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d65536 (c2) |     44.35 ± 6.75 |     27.77 ± 5.03 |   89.00 ± 7.00 |     47.25 ± 3.90 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d65536 (c5) |   2421.13 ± 2.20 |  968.97 ± 566.15 |                |                  | 87658.70 ± 37071.20 | 87653.07 ± 37071.20 | 87660.72 ± 37070.15 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d65536 (c5) |      7.09 ± 3.34 |      5.85 ± 6.01 |  92.00 ± 23.00 |    26.95 ± 11.48 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d65536 (c5) |   1753.21 ± 4.56 |  522.14 ± 338.29 |                |                  |   4987.97 ± 1636.55 |   4982.34 ± 1636.55 |   4990.48 ± 1636.00 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d65536 (c5) |     58.04 ± 0.62 |     20.10 ± 3.39 |  154.00 ± 1.00 |     33.00 ± 6.43 |                     |                     |                     |
