| model                                        |                 test |     t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d32768 (c5) |    16.12 ± 0.96 |      9.13 ± 6.27 |  108.50 ± 4.50 |     31.80 ± 7.88 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d32768 (c5) | 2097.71 ± 22.19 |  637.89 ± 429.07 |                |                  |   4144.45 ± 1387.08 |   4142.84 ± 1387.08 |   4147.03 ± 1387.36 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d32768 (c5) |    60.70 ± 0.19 |     21.06 ± 4.10 | 145.50 ± 11.50 |     34.80 ± 8.26 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d65536 (c1) |  2622.78 ± 0.20 |   2622.78 ± 0.20 |                |                  |     24989.63 ± 1.90 |     24988.03 ± 1.90 |     24993.61 ± 2.69 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d65536 (c1) |    42.85 ± 0.46 |     42.85 ± 0.46 |   64.00 ± 2.00 |     64.00 ± 2.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d65536 (c1) |  1509.83 ± 1.96 |   1509.83 ± 1.96 |                |                  |      1358.05 ± 1.76 |      1356.45 ± 1.76 |      1360.55 ± 0.73 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d65536 (c1) |    39.25 ± 0.88 |     39.25 ± 0.88 |   57.00 ± 1.00 |     57.00 ± 1.00 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d65536 (c2) |  2642.64 ± 4.16 |   1324.68 ± 4.37 |                |                  |   49476.44 ± 163.09 |   49474.84 ± 163.09 |   49478.76 ± 164.63 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d65536 (c2) |    51.71 ± 4.23 |     31.17 ± 3.74 |  76.00 ± 14.00 |     42.50 ± 8.76 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d65536 (c2) |  1576.54 ± 7.81 | 1101.20 ± 312.75 |                |                  |    2024.39 ± 574.01 |    2022.78 ± 574.01 |    2026.13 ± 572.29 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d65536 (c2) |    46.60 ± 6.90 |     29.77 ± 2.61 |   77.00 ± 3.00 |     47.00 ± 8.57 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_pp @ d65536 (c5) |  2527.84 ± 1.04 |  815.31 ± 301.68 |                |                  | 91436.44 ± 30252.29 | 91434.83 ± 30252.29 | 91438.77 ± 30250.45 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | ctx_tg @ d65536 (c5) |    10.87 ± 1.84 |      6.33 ± 4.98 | 112.50 ± 23.50 |     30.40 ± 9.01 |                     |                     |                     |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 | pp2048 @ d65536 (c5) |  1756.02 ± 1.87 |  511.78 ± 318.07 |                |                  |   5003.13 ± 1608.74 |   5001.53 ± 1608.74 |   5005.00 ± 1607.38 |
| local-inference-lab/Qwen3.8-Flash-Next-NVFP4 |  tg256 @ d65536 (c5) |    58.80 ± 0.67 |     20.21 ± 3.61 |  142.00 ± 2.00 |     33.60 ± 7.70 |                     |                     |                     |
