| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c2) |   3050.18 ± 1.52 | 1818.97 ± 293.18 |                |                  |   9257.53 ± 1491.75 |   9255.41 ± 1491.75 |   9259.78 ± 1492.22 |          0.405 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c2) |     65.77 ± 2.73 |     38.65 ± 3.80 |  110.67 ± 2.62 |     61.33 ± 4.64 |                     |                     |                     |          0.405 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c2) |   1258.14 ± 6.65 |  925.28 ± 295.65 |                |                  |    2466.95 ± 787.10 |    2464.83 ± 787.10 |    2468.17 ± 787.12 |          0.405 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c2) |     81.95 ± 1.92 |     44.21 ± 3.34 |  114.33 ± 1.70 |     60.00 ± 1.73 |                     |                     |                     |          0.405 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3088.80 ± 1.17 |  954.13 ± 152.36 |                |                  |  17632.53 ± 2795.17 |  17630.40 ± 2795.17 |  17634.57 ± 2795.77 |          0.408 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |     85.74 ± 5.31 |     28.66 ± 6.70 |  165.00 ± 5.35 |     51.75 ± 7.01 |                     |                     |                     |          0.408 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |   1377.23 ± 2.01 |  595.15 ± 384.66 |                |                  |   4535.61 ± 1701.14 |   4533.48 ± 1701.14 |   4537.17 ± 1701.46 |          0.408 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    108.76 ± 2.53 |     34.19 ± 4.27 |  179.67 ± 7.41 |     51.50 ± 2.93 |                     |                     |                     |          0.408 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3079.90 ± 6.09 |  803.32 ± 191.85 |                |                  |  21542.84 ± 4731.01 |  21540.71 ± 4731.01 |  21545.35 ± 4731.08 |          0.402 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     88.34 ± 6.35 |     25.35 ± 5.76 | 181.00 ± 10.20 |     47.53 ± 5.15 |                     |                     |                     |          0.402 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |   1383.49 ± 1.90 |  521.79 ± 369.04 |                |                  |   5275.10 ± 1998.74 |   5272.97 ± 1998.74 |   5277.20 ± 1998.54 |          0.402 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    120.01 ± 4.40 |     30.26 ± 3.49 |  221.67 ± 6.24 |     49.33 ± 2.84 |                     |                     |                     |          0.402 |        0.411 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) |   3074.79 ± 6.42 |  626.51 ± 280.86 |                |                  | 30612.73 ± 10225.29 | 30610.61 ± 10225.29 | 30615.13 ± 10225.51 |          0.404 |        0.411 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     73.38 ± 5.26 |     17.32 ± 6.74 | 231.33 ± 14.70 |     41.25 ± 7.17 |                     |                     |                     |          0.404 |        0.411 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |  1395.32 ± 15.10 |  383.14 ± 333.24 |                |                  |   7740.21 ± 3215.21 |   7738.09 ± 3215.21 |   7742.22 ± 3214.94 |          0.404 |        0.411 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    139.17 ± 1.41 |     23.50 ± 3.13 |  278.33 ± 4.03 |     42.67 ± 4.21 |                     |                     |                     |          0.404 |        0.411 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |   3061.43 ± 1.98 |  585.70 ± 281.00 |                |                  | 34031.99 ± 13541.40 | 34029.87 ± 13541.40 | 34034.36 ± 13541.37 |          0.403 |        0.411 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |    75.67 ± 11.03 |     14.28 ± 6.29 |  269.33 ± 2.62 |     40.47 ± 6.56 |                     |                     |                     |          0.403 |        0.411 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |   1402.86 ± 5.39 |  335.10 ± 309.84 |                |                  |   9088.16 ± 4028.65 |   9086.04 ± 4028.65 |   9090.01 ± 4028.72 |          0.403 |        0.411 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    150.77 ± 3.24 |     20.96 ± 3.25 | 315.00 ± 10.03 |     39.93 ± 3.59 |                     |                     |                     |          0.403 |        0.411 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |   3047.05 ± 0.61 |  449.94 ± 284.67 |                |                  | 49514.31 ± 23516.79 | 49512.19 ± 23516.79 | 49517.09 ± 23517.11 |          0.402 |        0.411 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     74.98 ± 0.69 |      9.67 ± 5.22 |  352.00 ± 6.53 |     31.62 ± 7.69 |                     |                     |                     |          0.402 |        0.411 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |   1400.83 ± 0.61 |  250.18 ± 274.27 |                |                  |  13310.89 ± 6605.81 |  13308.77 ± 6605.81 |  13313.18 ± 6606.00 |          0.402 |        0.411 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    174.95 ± 1.17 |     16.07 ± 2.94 |  421.00 ± 7.87 |     34.56 ± 2.92 |                     |                     |                     |          0.402 |        0.411 |
