| model              |                  test |      t/s (total) |        t/s (req) |       peak t/s |   peak t/s (req) |           ttfr (ms) |        est_ppt (ms) |       e2e_ttft (ms) |   accept/draft |   prefix-hit |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c4) |   3087.10 ± 2.45 |  954.02 ± 152.55 |                |                  |  17636.11 ± 2800.15 |  17633.90 ± 2800.15 |  17638.13 ± 2800.75 |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c4) |    77.15 ± 14.59 |     28.26 ± 7.51 | 166.33 ± 10.53 |     51.92 ± 6.63 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c4) |    838.42 ± 1.50 |  295.73 ± 109.80 |                |                  |   7708.99 ± 2136.25 |   7706.79 ± 2136.25 |   7710.81 ± 2136.17 |          0.404 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c4) |    102.47 ± 0.97 |     32.76 ± 4.09 |  185.00 ± 6.68 |     52.25 ± 4.21 |                     |                     |                     |          0.404 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c5) |   3085.16 ± 0.99 |  805.12 ± 192.66 |                |                  |  21499.30 ± 4730.05 |  21497.09 ± 4730.05 |  21501.71 ± 4730.22 |          0.402 |        0.329 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c5) |     82.20 ± 8.80 |     25.34 ± 5.48 |  183.67 ± 6.13 |     47.07 ± 6.78 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c5) |    847.28 ± 3.81 |  252.86 ± 115.89 |                |                  |   9365.29 ± 2855.24 |   9363.09 ± 2855.24 |   9367.90 ± 2855.06 |          0.402 |        0.329 |
| qwen3.8-flash-next |   tg512 @ d16384 (c5) |    109.39 ± 2.73 |     29.35 ± 4.52 | 206.67 ± 11.47 |     47.40 ± 3.09 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next |  ctx_pp @ d16384 (c8) | 3169.00 ± 136.31 |  681.62 ± 342.22 |                |                  | 28929.95 ± 10382.06 | 28927.75 ± 10382.06 | 28931.98 ± 10381.97 |          0.402 |        0.341 |
| qwen3.8-flash-next |  ctx_tg @ d16384 (c8) |     74.59 ± 9.10 |     17.45 ± 6.57 |  235.67 ± 3.86 |     40.58 ± 5.78 |                     |                     |                     |          0.402 |        0.341 |
| qwen3.8-flash-next |  pp2048 @ d16384 (c8) |   862.33 ± 16.98 |  199.09 ± 115.82 |                |                  |  12849.96 ± 4913.61 |  12847.75 ± 4913.61 |  12852.20 ± 4913.72 |          0.402 |        0.341 |
| qwen3.8-flash-next |   tg512 @ d16384 (c8) |    121.76 ± 2.49 |     22.38 ± 4.47 | 275.00 ± 11.52 |     42.62 ± 3.43 |                     |                     |                     |          0.402 |        0.341 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c10) |   3061.55 ± 1.32 |  586.23 ± 281.71 |                |                  | 34019.18 ± 13550.21 | 34016.98 ± 13550.21 | 34021.73 ± 13550.50 |          0.402 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c10) |     79.77 ± 1.97 |     14.22 ± 6.03 | 267.67 ± 10.14 |     37.93 ± 5.21 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c10) |    848.40 ± 0.44 |  176.80 ± 114.88 |                |                  |  15273.43 ± 6611.99 |  15271.23 ± 6611.99 |  15275.05 ± 6611.76 |          0.402 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c10) |    125.06 ± 1.02 |     18.85 ± 4.24 |  295.00 ± 9.27 |     39.10 ± 3.16 |                     |                     |                     |          0.402 |        0.329 |
| qwen3.8-flash-next | ctx_pp @ d16384 (c16) |   3045.18 ± 1.20 |  449.65 ± 284.53 |                |                  | 49542.96 ± 23526.42 | 49540.75 ± 23526.42 | 49544.65 ± 23526.67 |          0.407 |        0.329 |
| qwen3.8-flash-next | ctx_tg @ d16384 (c16) |     74.59 ± 2.74 |      9.65 ± 5.21 | 361.67 ± 14.27 |     34.02 ± 4.87 |                     |                     |                     |          0.407 |        0.329 |
| qwen3.8-flash-next | pp2048 @ d16384 (c16) |    843.38 ± 0.53 |  133.63 ± 105.88 |                |                  | 22326.16 ± 11007.87 | 22323.96 ± 11007.87 | 22328.64 ± 11007.75 |          0.407 |        0.329 |
| qwen3.8-flash-next |  tg512 @ d16384 (c16) |    139.79 ± 1.24 |     14.21 ± 4.20 | 405.00 ± 11.34 |     33.98 ± 2.84 |                     |                     |                     |          0.407 |        0.329 |
